Speech,Label
রাঁধুনি রেস্টুরেন্টে সার্ভিস দিন দিন খারাপ হয়ে যাচ্ছে। অর্ডার করেছিলাম ডাল গরুর মাংস আর ভাত। ডাল দেয় নাই। একটা ভর্তা দিছে।,0
দয়াকরে মানুষকে হয়রানী করবেন নাহ। অর্ডার করেছিলাম বড় চিংড়ী। কিন্তু ছোট চিংড়ী দিয়েছে। গত দিন হাস ভুনা অর্ডার করেছিলাম। হাঁসের মাংসে অনেক লোম ছিল। খাওয়ার রুচি হয় নাই। ফেলে দিয়েছিলাম সম্পূর্নটা!,0
যেমনটা আশা করছি তার থেকে ভালো পেয়েছি,1
খাবার হাইজেনিক নয়। খুব একটা টেস্ট লাগেনি। পরিমাণ ঠিক ছিল। আশাকরি খাবারের মান উন্নত করবেন।,0
কাঁচ্চিতে প্রায় তেহারি সাইজের ছোট এক পিস খাসির মাংস দিয়েছে শুধু .,0
"অর্ডার করছি কাচ্চি মটন বিরানী,দিয়ে গেল তেহারি, এক টুকরো মাংস পাইলাম, এতই সাইজ ছোট যে বলার মতো না, ফাইজলামির একটা লিমিট থাকা দরকার",0
খুবই বাজে। ছোট এক টুকরো হাড্ডি ছাড়া মাংসের কোন বালাই ছিল না। ফালতু যত্তসব।।,0
জঘন্য খাবার। ফানি দিয়া গিল্লা খাওয়া লাগছে শেষে!,0
খাবার টা গন্ধ হয়ে গিয়েছিল। পুরো খাবার ফেলে দিতে হয়েছিল,0
ভালো খাবার ছিল।,1
"বিফ তেহারি নিয়েছিলাম, ১৫০টাকা দাম কিন্তু মাংস পেলাম ছোলা বুটের সাইজের ৪-৫ টুকরা। সাদ মুটামুটি।",1
চিকেন রোস্ট একেবারে বাজে স্বাদ নেই কাচ্চি মোটামুটি শুকনা ছিল এভাবে চলল সুলতান ডাইনস বসুন্ধরায় বসে যাবে,0
"খাসির মাংসে কোন স্বাদ ছিলো না। কতোদিন যে খাসির মাংসগুলো ফ্রিজে ছিলো কে জানে!!! সুলতান ডাইনস থেকে এমনটা আশা করি না। আশা করি, মাংসের কোয়ালিটির দিকে পরবর্তীতে খেয়াল রাখবে।)",0
খুবই বাজে। মাংস আর মশলা পোড়া ছিল। হতাশ!,0
অফার দিলে ওনারা মাংসের পরিমাণ কমিয়ে দেয়। রেগুলার মাংসর থেকে হাড়ের পরিমাণ বেশি থাকে।,0
মোটামুটি চলে,1
"ডিম পোলাওটা মুটামুটি ভালো ছিল, তবে এদের সালাদের মান একটুও ভালো না।",1
খিচুড়িটা বাসি খাবার ছিল,0
আলহামদুলিল্লাহ ভালো,1
"খাবার বাসি ছিল। খেতে পারি নাই। সবসময়ই অর্ডার করি, ভালোই থাকে, আজকে একদমই বাসি খাবার দেয়া হয়েছে।",0
বাসি খাবার ছিল ।পোলাও গন্ধ ছিল,0
অনেক বেশি দেরিতে এসে পৌঁছেছে। কলসেন্টারে বারবার যোগাযোগ করেও কোন ফল পাওয়া যায়নি। খাবার ছিল বৃষ্টির পানিতে ভেজা এবং সিল ভাঙ্গা ছিল। রাইডার কোনরকম যোগাযোগ করেনি। খাবারের মান ছিল অত্যন্ত নিম্নমানের।,0
বাজে ও খাবারের মান খারাপ পেয়েছি আজ,0
বাক্স ভরা ভালোবাসা 🥰,1
মাংসের চেয়ে আলু বেশি ছিলো।,0
খুবি খারাপ ছিল।বাসি খাবার।কোন টেস্ট ছিলনা কাচা পিয়াজ দিয়েছিল উপরে যেটা আরো খারাপ লেগেছে।বাসি ফ্রেঞ্চ ফ্রাই ছিল।টেস্ট এর কোন কম্বিনেশনই ছিল না।,0
"ফার্মের মুরগির রানের হাড় ছাড়া মাংস ৩ টুকরো ছিল। তবে তেল, লবণ ও অন্যান্য মসলা ছাড়া শুধু হলুদ দিয়ে মাংস সিদ্ধ করেছে মনে হলো । তাই হলুদের কাঁচা গন্ধ ছিল। পরোটাও কাঁচা ছিল। পরোটা আরেকটু ভাজলে ভালো হতো। বুঝি না, কে এতো দাম দিয়ে (২৬৪ টাকা) এই বিস্বাদ খাবার খায়। প্যাকেজিং খুব সুন্দর। কিন্তু খাবার সুস্বাদু হওয়া দরকার।",0
সিগনেচার চিকেন বার্গারের চিকেন কচকচ করে। মানে ভিতরে কাচা। আচারি রাইসের চিকেনের উপরে টক দই দিসে নাকি চুনা দিসে সেটা ম্যাডশেফ বলতে পারবে। ওয়াস্ট অফ মানি। অভার রেটেড রেস্টুরেন্ট।,0
"আগের কাটা পেয়াজ ছিলো, যার গন্ধে খাওয়ার যাচ্ছিলো না",0
"খুব ই সুস্বাদু ছিলো। ফ্রেশ মেইড, বেস্ট বাটার মাসালা।",1
"একদম বাজে, আমি অর্ডার করেছিলাম চিকেন মাসালা, মোমো আর আমাকে দেয়া হয়েছে চিকেন মাসালা ঢোসা",0
কোয়ান্টিটি কম,0
খাবার ভালো ছিল। ডাল তারকা + সালাদ খুবই মজা ছিল। আমি প্লেটারের সাথে এক্সট্রা একটা গার্লিক নান এবং তন্দুরি চিকেন অর্ডার করি এবং পেমেন্টও করি।কিন্তু এক্সট্রা গার্লিক নান দেয়া হয়নি,1
"চিকেন টা একটু ছোট ছিল, যেহেতু সোনালী চিকেন। কিন্তু মজা ছিল। ওভারঅল ভাল।",1
"চিটার রেস্টুরেন্ট, হাফ চিকেনের কথা বলে ২ টা লেগ পিস দিছে",0
বাজে লেভেলের ফুড😓😓,0
"ফালতু বিরানী,",0
"বস্তিপচা খাবার, চাপ সিদ্ধ করেনা",0
"হায়দ্রাবাদি বিরিয়ানি কিভাবে করতে হয় সেটা তাদের শিখাতে হবে, বাসমতি রাইস মনে হয় তারা চিনে না, 2 টুকরা এর মধ্যে একটি ছোট অপরটি পুরোপুরি চর্বি। এত দাম দিয়ে, ভ্যাট দিয়ে মানুষকে ঠকাবেন না।",0
"আমার টাকা নিয়ে ডেলিভারি দেনাই,, আমি অভিযোগ করবো ফুড পান্ডার বিরুদ্ধে,,",0
জঘন্য,0
ভাল না,0
বাশি পিজ্জা দিসে🤧,0
ন্যাতানো ফ্রেন্চ ফ্রাই ছিলো,0
খাবারটা খুবই সুস্বাদু ছিলো।আর খাবারের বক্স টা খুবই আর্কষণীয় ছিলো।,1
ফাটাফাটি,1
তেহারী টা অনেক ভালো ছিলো। ঝাল টা সামান্য কম হলে ভালো হতো। Otherwise সব ঠিক আসে। সরিষার তেল এর ঝাঁঝালো ভাব টার জন্যে খেয়ে মজা পাইসি😊,1
"মোরগ পোলাও ভালো ছিল,কিন্তু তেহেরি খুব একটা ভালো লাগে নাই।",1
"আজকের খাবার ভালো ছিল। মাঝে মাঝে খুব বাজে হয়, খাবারের পরিমাণ ও ঠিক ছিল।",1
মোরগ পোলাও নষ্ট ছিল। খেতে পারিনি।,0
স্যান্ডউইচ গুলো খুবই সুস্বাদু ছিল এবং প্যাকেটিং টা ও খুব ভালো ছিল।,1
বাজে খাবার দেওয়া হয়েছে,0
খাবার সহ পাইনি,0
"আগের বার সিঙ্গারার সাইজ একটু বড় ছিল আজকের তুলনায়। ৭ টাকায় সিঙ্গারা যদি আজকের মত ছোট হয়, আসলে পোষায় না। আশা করবো খেয়াল রাখবেন বিষয়টার।",0
খুবই খারাপ ছিল,0
"আলু ভর্তায় বাসি পেয়াজ ব্যাবহার করেছেন। চুল পেয়েছি ভর্তায় আর ভর্তার ভেতর তেল,নুন ধুকেইনি। মোটকথা বিস্বাদ ভর্তা। আর ৩০ টাকায় ১ প্লেট ভাত? পরিমান অনুযায়ী আপনার ভাতের দাম হতে পারতো ১০-১৫ টাকা। ফিস কারি ভালো ছিলো। সব মিলিয়ে ২য় বার অর্ডার দেয়ার মত নয় মোঠেও।",0
"বীফ বিরানি অর্ডার করেছিলাম, বাসী খাবার,বাজে দুর্গন্ধ ছিল, অর্ধেক খাওয়া ছিল,",0
খানা মজা nai দাম বেশি,0
সব্জি গুলো ভালো হয়নি আর প্যাকেজিং টাও ভালো না,0
ঠান্ডা ছিলো খাবার,0
আলু ভর্তাটা সম্পুর্ন বরফ অবস্থা। ফ্রিজ থেকে নাময়ে দিসে যা ছিল খাওয়ার অযোগ্য। আর ফ্রীর্নি ও সেই একি অবস্থা। 3-4 দিন আগে। ফ্রিজে থাকতে থাকতে পানি জমে গেছে।,0
খুবই খারাপ খাবার।,0
খাবারের মান তেমন ভালো ছিল না।।।,0
বিশ্ব বাটপার।,0
খুবই বাজে। একটি পিজ্জা এতো পাতলা হয় আজ না খেলে জানতাম না। এক্সট্রা চিজ এড করা হয়েছিল তাও এড করে নি। সবমিলিয়ে খুবই বাজে অভিজ্ঞতা হলো।,0
বাসি ছিল কাচ্চিটা মুরাদপুর এর থেকে বেটার,0
সার্ভিস এত বেশি ভালো না,0
"আহামরি কিছু না, অন্যান্য তেহেরীর মতোই স্বাদ।",1
খাবারের কোয়ালিটি এবং কোয়ান্টিটি দুটাই কমে গেছে। ২৫০ টাকার কাচ্ছির মধ্যে সবগুলো চর্বি! আর রাইডারকে মনে হয় ফুডপান্ডা টাকা দেয় না! ওরে বকসিস না দিলে ও যাবে না!,0
খাবার খুব খুব বাজে ছিলো।পোলাও রাইস টা সম্পূর্ণ পচা ছিলো। এই রকম সার্ভিস আশা করি নাই।অলরেডি পেট এ সমস্যা হচ্ছ।,0
"প্যাকেজিং খুব ভালো ছিলো। বটের হালিম টা বেশ ভালো লেগেছে। কিন্তু বট ভাজিতে বটের গন্ধটা রয়ে গেছে,ভালো ভাবে পরিষ্কার করলে হয়তো গন্ধটা থাকবে না।",1
খাবার পরিমাণে খুবই কম,0
বোম্বে বিরিয়ানিতে শামী কাবাব ছিলোনা।তান্দুরী চিকেনের জায়গায় অন্য আইটেম দিছে।পেকেজিং খুবই খারাপ। খাবারের টেস্ট মোটামুটি।,1
২০০ টাকা নিয়ে ২০ টাকার পাস্তা ও দেয় নাই,0
খুব বাজে... চিকেন চাপটা পোড়া গন্ধ,0
আমি আমার প্রথম খাবার পাই নাই। i have no recived my food,0
"একটা পাইপ দিতে পারতেন, বাকি সব মোটামুটি ভাল",1
খাবারের মান ভাল ছিলো না।কেকটা ৫দিনের আগের ছিলো। কুপারসের কাছে এরকম আশা করি না।,0
খাবার মান আগের থেকে অনেক নিচে নেমে গিয়েছে।,0
মোরগ পোলাও অর্ডার করেছিলাম। ভাল ছিল,1
গত ২৬ বছরে ২৫০ টাকা দিয়ে এমন বাজে খাবার কিছুই খাই নাই।,0
"এত এত বেশী দাম কল্পনার বাইরে, কালাভুনা ৭০০ টাকা? সামান্য ৩জন ও খেতে পারবে না। ফালতু বিজনেস",0
আর একটু ভালো হতে পারতো,1
বাসি হালোয়া দিয়ে দিছে! ছবিতে এক বাস্তবে আরেক! আর ইলিশ মাছ মেবি ৬-৭ মাস আগের! মসলা দিয়ে পুরাই রাখছে! ফালতু সার্ভিস,0
খাবার ভালো ছিল না,0
খাবার টা ফ্রেশ এবং গরম ছিল .....সাথে প্রাণ সস,1
"সস গুলো ভালো ছিল না,,,তাছাড়া বাকিগুলো ভালো ছিল,,,",1
"ভীষণ খারাপ খাবার ফ্রাইডরাইস আর কেশনাট অর্ডার করেছিলাম,, এতো বাজে টেস্ট",0
খাবার এত ভালো ছিলো না,0
হালিমটা ভাল ছিল,1
ডালে হলুদ বেশি ছিল,0
"চমৎকার ছিলো খাবার! ৫ স্টার না দিয়ে পারলাম না। পোড়া বেগুন ভর্তা, বেগুন ভাজি, ডাল আর মুরগিটা খুব ভালো ছিলো।",1
"ভাত আরেক্টূ হলে ভাল হতো, তাছাড়া সব ঠিক্টহাক",1
দয়া করে অর্ডার করবেন না।।১ স্টার দিতেও কষ্ট হচ্ছে।।খাবার এর পরিমাণ এতো কম তার উপর চুল ফ্রি খাবার এর সাথে।।,0
খাবারের মান বেশি একটা ভালো না।,0
২টা ব্রস্ট চিকেন অর্ডার দিসি দাম হিসেবে মোটামুটি ভালো ছিল।,1
খাবার ঠান্ডা। টেস্ট আহামরি ভাল না। মোটামুটি।,1
নষ্ট রুটি দিয়েছে,0
পেকেট ভালো লেগেছে ডেলিভারি তে একটু সময় লেগেছে আরো ভালো সারর্ভিস আসা করি।,1
খাবারের মান খুবই ভালো। তবে বিরানির সাথে শশা দিলে আরো ভালো হতো।,1
খাবারের পরিমাণ খুব কম ছিল অন্যান্য রেস্টুরেন্টে চাইতে,0
একদম বাজে খাবার কোন স্বাদ নেই,0
"ঝাল হয়েছে অনেক চিকেন খিচুড়ি টা,মা অসুস্থ ছিলো,তাই এনে ছিলাম,কিন্তু খেতে পারে ৷ নাই।😥",1
ভালো ।,1
"বাই ওয়ান-গেট ওয়ান,একটা বাজে খাবার।খাবারের মান আরো উন্নতি করুন।হুদাই পাবলিকের টাকা নিয়ে নিচ্ছেন।",0
মুরগির পিছ ছোট হয়ে গেছে এইটা বড় করতে হবে,0
ওভারঅল সবকিছুর ভালো ছিল,0
তাদের খাবারের মূল্য পেকেটের গায়ের চেয়ে ৫ ৳ বেশি।।।। এত দাম দিয়ে বাজে খাবার খাওয়া ঠিক হয়নি।। খাবারের মান তেলমন ভালোনা প্রাইজ বেশি নিচ্ছে।।,0
তাদের বিস্কুট সুস্বাদু অনেক+ডেইলি বানানো জিনিসই হাতে পাই সবসময়.... এভাবে তাদের সুনাম ধরে রাখবে অাশা করি,1
চিকেন শর্মা রেটিং ২/৫,1
"আমার খুব প্রিয় বেকারি,সব খাবার ই ভালো লাগে,গরম করে দিতে বললে খাবার গরম করে।",1
সব দোকানকে নির্দেশ দেওয়া দরকার যাতে ভাল শপিং ব্যাগ দেয়। পলিথিনেে করে খাবার ডেলিভারি করা খুবই হতাশাজনক,0
"চটপটি, ফুসকা,আর চাট। স্সবাদ সবগুলোর same । আমি যদি শুধু চটপটি অর্ডার করতাম তাও ভাল হত। স্বাদ এতটা ভাল না।",0
দই ফুসকা ভালো লাগচ্ছে কিন্তুক দই চিড়া ভালো লাগে নাই,0
খাবার পরিমাণে কম ছিল,0
খুব ভালো কিন্তু রাইডার একটু লেট করে,1
এত টাকা দিয়ে ৪ পিছ বোনলেস চিকেন কারি …. এইভাবে না টোকাইলে পারতেন 😡,0
খাবার টা ভালো,1
খাবারের মান খুবই ভালো ছিল। তৃপ্তি নিয়ে খেয়েছি। অনেক ধন্যবাদ।,1
সত্যি খুবেই ভালো ছিলো 😋 ধন্যবাদ বাবলী রান্নাঘর 💖,1
খাবারটা খুব মজাদার ছিল. খাবারের মান খুবই ভাল ছিল.,1
একদম পালতু খাবার।বাসি খাবার একদম।,0
আগে ১১০ টাকায় যে জার এ ফালুদা দেয়া হতো তা এখন ছোট জার এ দিচ্ছে যা আগের পরিমানে কম নাকি সমান আমি পরিমান করতে পারিনি তবে আগের জার টা ই ভালো ছিলো৷ ডিসকাউন্ট মানে ত জার পরিবর্তম বা পরিমানে কমানো হলে ডিসকাউন্ট দেয়ার দরকার নেই৷ এমনিতে আগের চেয়ে জেলি ও কমে গেছে৷ আর নিবো না৷,0
প্রথম দিন অর্ডার করার পর আবার অর্ডার করলাম কাশ্মিরি ফালুদা৷ তবে ছবি যেমন তেমন পাইনি৷ সব অল্প অল্প ছিলো৷ নুডলস টা ই বেশি ছিলো৷ তবে ওভার অল ভালো৷,1
অসাধারণ৷ আমি খুবই ভয়ে ছিলাম অর্ডার করবো কি না তা নিয়ে৷ আমি ফালুদা এবং মিন্ট লাচ্ছি অর্ডার করেছিলাম৷ ফালুদা খুবই মজার ছিলো৷ যদিও জেলি আরও বেশি আশা করেছিলাম৷ আর মিন্ট লাচ্ছি ও বেশ ভালো ছিলো৷ প্যাকেজিং দেখে আমি ত ফিদা৷ কারন সীল করা ছিলো৷ একটুও পড়ার ভয় নেই৷ বাহ ভাল ই হল৷ আমার এই রাত ১০:৩০ টায় হঠাৎ ফালুদা খেতে মন চাইলেই আর টেনশন নেই৷,1
পরিমাণ অনেক অনেক কম,0
ফালতু খাবার😡,0
মোটামোটি ভালই,1
ভালো ছিল।,1
শর্মাটা অনেক মজার ছিলো।,1
"ওর্ডার করেছিলাম পানি পুরি, ডেলিভারী করছেন ফুচকা!",0
মনে হয় ফ্রীজে যত বাঁধাকপি ছিল আমার ফ্রাইড নুডলসে দিয়ে দিসে।,0
বিরিয়ানি আধা প্যাকেট পেলাম। সমস্যা কোথায় বুঝলাম না।,0
১৫০ টাকার ফ্রেঞ্চ ফ্রাই সাথে সস আর মেয়োনিজ ছাড়া। কল দিলে বলে আলাদাভাবে অর্ডার দেননাই কেনো? জীবনে আলাদাভাবে অর্ডার দিয়ে কে ফ্রেঞ্চ ফ্রাই খায় জানিনা।,0
খাবার মজা,1
খাবারের মান একদম খারাপ ছিল না,0
বিরিয়ানি টা নস্ট ছিল স্বাধ গন্ধ ছাড়াই,0
ওরশ আখনি বিরিয়ানি খাবারের মান খুবই ভালো ছিল কিন্তু পরিমান কম। সালাদ আরো ভালো হওয়া দরকার।,1
পুরাতন গন্ধযুক্ত খাবার,0
ঝোল কম। ঝোল বাড়াইলে মোরগ পোলাও টা সেরা হবে,1
খাবার ঠিক ছিক কিন্তু আপনাদের রাইডার টিপস নিল ৫টাকা! আমরা ছাত্র মানুষ আমাদের কাছ থেকে টিপস নেওয়া কি দরকার?,1
"চিকেন টিক্কা গুলো বেশ ছোট ছিল,,,টেস্ট ভালো ছিল",1
ভাই রে ভাই ২১১ টাকা দিয়ে বায় ওয়ান গেট ওয়ান দেখসিলাম তাই তো অর্ডার দিলাম আর তারপর তো দেখি ডিম নাই জাস্ট মোরগ পোলাও? আর ২১১ টাকার কোনো খাওয়ার ই নাই আজিব ব্যাপার 🙃,0
"খুবই নিকৃষ্ট খাবার, প্যাকেজ দিয়ে চিটারি করছে। প্যাকেজে যা বলা আছে, বাস্তবে তা থাকেনা।",0
ঝাল ছিলো খাবার৷ অনেকটা ড্রাই,0
"ভাইরে ভাই, চিকেন কাবাব বার্গার ও চিকেন চিজ কাবাব বার্গারের মাঝে কোন পার্থক্য নেই। হুদাই টাকা লস।",0
খাচ্ছি টা ভালো ছিল না. মাংসটা চাবানো যাচ্ছিল না এত শক্তি ছিল.,0
"টাকার প্রতি দরদ না থাকলে, রাস্তার অভুক্ত কাউকে দান করা ভাল। নতুন রেস্টুরেন্ট ভাল হবে ভেবে ধরা খেলাম।🤬",0
চিকেন রোষ্ট অনেক ছোট,0
এত ফালতু ইফতার কমই খাইসি,0
"টমেটো ভর্তা গন্ধ ছিলো,,মানে খাওয়ার মতো না,, নেক্সট টাইম থেকে আশা করি ভালো সার্ভিস পাবো",0
বাসি খাবার দেয়া হয়েছে।,0
হোমমেড খাবার ভাবছিলাম ভালো হবে। কিন্তু খুব বাজে ছিল। আশা করি সব কিছু হালাল করে নিবেন। ইনশাআল্লাহ আল্লাহ অনেক বরকত দিবে।,0
খাবার ছিলো পুরাই জগন্য।এদেরকে ফুডপান্ডা থেকে বের করে দেওয়া উচিত,0
খাবারের কোয়ালিটি মাঝারি মানের ছিল।,1
"পিৎজা অর্ডার করেছিলাম, নষ্ট ছিলো",0
খাবার অর্ডার দিয়েছে দুই ঘন্টা হয়ে গেছে এখনো খাবার আসতেছে কিনা তাও ঠিক বুঝতে পারতেছিনা এক্সপেরিয়েন্স কি বলবো মাথায় কাজ করছেনা,0
বিরিয়ানি মোটামুটি ছিল। আর কাবাবটা পুরাতন ছিল।খেয়েভালো লাগে নাই,1
খাবারে লবণ বেশি অন্যান্য গুণগত মান ঠিক হয়েছিল,1
ফিরনির সাথে চামচ দেওয়া হয় নাই,0
আমার জীবনের সব চেয়ে খারাপ বিরিয়ানি খেলাম। বমি চলে আসছে। অমানুষের বাচ্চারা টাকা বরাবর নিয়ে খারাপ খাবাট দেয়,0
ফালতু খাবার,0
একদম ফালতু।মাছের পিচ ২টা অর্ডার ছিল।দিয়েছে ১টা। বাজে প্যাকিং।,0
"পোড়া পোড়া ফুচকার খোসা,টক আর দই গন্ধ।",0
ফুচকা মোটামোটি ভালো ঝালকম ছিল টকটা আনেক পুরনো মনে হযছে,1
সালাদ দেয় নাই এবং টক অনেক পুরোনো,0
খুব বাজে ঠান্ডা ফুচকা কতগুলো,0
"উনাদেরকে যেভাবে ইন্সট্রাকশন দেই, সেভাবেই উনারা ডেলিভারী করেন। খুবি ভালো। বিগত এক দেড় মাস আমি উনাদের খাবারই খাচ্ছি... প্রতি বেলায়... যথেষ্ট আন্তরিক উনারা, ধন্যবাদ ক্যাফে লায়লা...",1
ভালো... কিন্তু মাছের সাথে ঝোল দেয় নাই বললেই চলে...,1
"তারা তাদের ভাত এর কোয়ান্টিটিতে ইম্প্রুভ করতেছে দিন দিন, এইটা ভালো দিক।",1
"ভাতের পরিমান খুব কম দেয়। আলুভর্তা এর পরিমান ও খুব কম। মুরগীর পিস দিছে, যেটা ছোট.. কিন্তু কোয়ালিটি ঠিকাছে রান্নার.",0
"আমি সকালের ব্রেকফাস্টের জন্য ডাল, রুটি আর পরটা অর্ডার করছিলাম। ডাল এর কোয়ান্টিটি ভালো ছিলো, ডাল এর সাথে তিন পিস মুরগির গলার টুকরো ছিলো। পরটা রুটি গরম গরম ছিলো। এইদিক গুলা ভালো দিক। কিন্তু ডালটার টেস্ট আরো বেটার হইতে পারত। ডালটা ১০ এ ৫। সব কিছু মিলিয়ে ভালোই বলা চলে...",1
ক্যাফে লাইলা হোটেল এর খাবার এবং পরিবেশনা ২টাই অনেক ভাল ১০/১০,1
মজার খাবার ছিলো,1
খাবারগুলো এনেছে দেরিতে। খাবার হুলো এতো ঝাল এতো ঝাল দেওয়া ঠিক না।,0
ভাত এত কম দেন আপনারা।তাছাড়া মাংসের স্বাদ আরো ভালো হওয়া উচিত।,1
শুটকি ভর্তাতে শুটকির অস্তিত্বও নেই।,0
ভাতের পরিমান খুব খুব কম ছিলো! ৩ টা ফুল অর্ডার দিয়েছিলাম! কিন্তু মনে হয় ১ জনের হবে ভাত! তবে গরুর গোস্তটা দারুন ছিলো!,0
Price হিসেবে যথেষ্ট ভালো,1
ডিম এর খোসা ছিল😝😝 মাংসের Biryani তে মংসই ছিল না,0
একদম বাজে খাবার,0
মাংশ মাত্র ২ পিছ করে দেওয়া হইছে,0
খুবই বাজে খাবার। রাস্তার ফুটপাতে খাবার এটা থেকে ভালো,0
দামে মানে অনেকটাই ভালো,1
বোরহানিটা আরেকটু কম ঝাল হলে ভালো হতো,1
ফালতু বিরানি। এর চেয়ে রাস্তার পাশে কাউয়া বিরানি আরো বেশি ভালো,0
ভাল ছিল,1
"Very bad খাবার দেখিয়েছে একটা দিলো আরেকটা এগুলো তো বাটপারি। এরা ধোকাবাজ, চিটার, বাটপারি ছাড়া আর কিছুই না। কেউ এদের থেকে অর্ডার করিয়েন না।",0
খুবি বাজে একটা বার্গার দিছে! কোন মেয়নিজ নাই। ২ টা বন আর পিয়াজ দিয়ে দিয়ে দিছে! এগুলা ফুটপাতে ২০ টাকা দিয়ে সেল করে!,0
