Speech,Label,text,clean_text,tokenized_clean_text,tokenized_stem_text,token_length
ভালোই খারাপ না। অল্প দাম অনুযায়ী বর্তমানে বাজারে ভালোই দেওয়ার চেষ্টা করছে। আপনারা চাইলে খেতে পারেন।।।।।। ঘরের খাবারের মতো ১টা স্বাদ আছে,1,ভালো খারাপ না অল্প দাম অনুযায়ী বর্তমানে বাজারে ভালো দেওয় চাইলে খেত ঘর খাবারের মত া স্বাদ আছ,ভালোই খারাপ না অল্প দাম অনুযায়ী বর্তমানে বাজারে ভালোই দেওয়ার চাইলে খেতে ঘরের খাবারের মতো া স্বাদ আছে,"['ভালোই', 'খারাপ', 'না', 'অল্প', 'দাম', 'অনুযায়ী', 'বর্তমানে', 'বাজারে', 'ভালোই', 'দেওয়ার', 'চাইলে', 'খেতে', 'ঘরের', 'খাবারের', 'মতো', 'া', 'স্বাদ', 'আছে']","['ভালো', 'খারাপ', 'না', 'অল্প', 'দাম', 'অনুযায়ী', 'বর্তমানে', 'বাজারে', 'ভালো', 'দেওয়', 'চাইলে', 'খেত', 'ঘর', 'খাবারের', 'মত', 'া', 'স্বাদ', 'আছ']",18
জস চকোলেট কোল্ড কফি।,1,জস চকোলেট কোল্ড কফি,জস চকোলেট কোল্ড কফি,"['জস', 'চকোলেট', 'কোল্ড', 'কফি']","['জস', 'চকোলেট', 'কোল্ড', 'কফি']",4
রোস্ট দাম অনুযায়ী মোটামুটি,2,রোস্ট দাম মোটামু,রোস্ট দাম মোটামুটি,"['রোস্ট', 'দাম', 'মোটামুটি']","['রোস্ট', 'দাম', 'মোটামু']",3
পায়েস এভারেজ লেগেছ,2,পায়েস এভারেজ লাগ,পায়েস এভারেজ লেগেছ,"['পায়েস', 'এভারেজ', 'লেগেছ']","['পায়েস', 'এভারেজ', 'লাগ']",3
"আমার খুব প্রিয় বেকারি,সব খাবার ই ভালো লাগে,গরম করে দিতে বললে খাবার গরম করে।",1,প্রিয় বেকারি খা ই ভালো লাগে গরম বললে খা গরম করে, প্রিয় বেকারি খা ই ভালো লাগে গরম বললে খা গরম করে,"['প্রিয়', 'বেকারি', 'খা', 'ই', 'ভালো', 'লাগে', 'গরম', 'বললে', 'খা', 'গরম', 'করে']","['প্রিয়', 'বেকারি', 'খা', 'ই', 'ভালো', 'লাগে', 'গরম', 'বললে', 'খা', 'গরম', 'করে']",11
খিচুড়ি একদম বাজে,0,খিচুড়ি একদম বাজে,খিচুড়ি একদম বাজে,"['খিচুড়ি', 'একদম', 'বাজে']","['খিচুড়ি', 'একদম', 'বাজে']",3
সিংগারা পরিমাণে মাঝারি ,2,সিংগা পরিমাণে মাঝারি,সিংগারা পরিমাণে মাঝারি,"['সিংগারা', 'পরিমাণে', 'মাঝারি']","['সিংগা', 'পরিমাণে', 'মাঝারি']",3
পায়েস একদম সেরা ,1,পায়েস একদম সের,পায়েস একদম সেরা,"['পায়েস', 'একদম', 'সেরা']","['পায়েস', 'একদম', 'সের']",3
খাবার টা ফ্রেশ এবং গরম ছিল .....সাথে প্রাণ সস,1,খা ফ্রেশ গরম সাথে প্রাণ সস,খা ফ্রেশ গরম সাথে প্রাণ সস,"['খা', 'ফ্রেশ', 'গরম', 'সাথে', 'প্রাণ', 'সস']","['খা', 'ফ্রেশ', 'গরম', 'সাথে', 'প্রাণ', 'সস']",6
ডাল খেতে খারাপ,0,ডাল খেত খারাপ,ডাল খেতে খারাপ,"['ডাল', 'খেতে', 'খারাপ']","['ডাল', 'খেত', 'খারাপ']",3
খাবার ভালো কিন্তু টাকা অনুযায়ী খাবার কম দিলেন?,2,খা ভালো টাকা খা কম দিল,খা ভালো টাকা খা কম দিলেন,"['খা', 'ভালো', 'টাকা', 'খা', 'কম', 'দিলেন']","['খা', 'ভালো', 'টাকা', 'খা', 'কম', 'দিল']",6
"আলহামদুলিল্লাহ, খুব ভালো লাগছে, নতুন একটা টেস্ট পেয়েছি, আর ওনাদের ব্যবহার খুব ভাল লেগেছে,",1,আলহামদুলিল্লাহ ভালো লাগ এক টেস্ট পেয়ে ওনা ভাল লাগ,আলহামদুলিল্লাহ ভালো লাগছে একটা টেস্ট পেয়েছি ওনাদের ভাল লেগেছে,"['আলহামদুলিল্লাহ', 'ভালো', 'লাগছে', 'একটা', 'টেস্ট', 'পেয়েছি', 'ওনাদের', 'ভাল', 'লেগেছে']","['আলহামদুলিল্লাহ', 'ভালো', 'লাগ', 'এক', 'টেস্ট', 'পেয়ে', 'ওনা', 'ভাল', 'লাগ']",9
দারুণ স্বাদ!,1,দারুণ স্বাদ,দারুণ স্বাদ,"['দারুণ', 'স্বাদ']","['দারুণ', 'স্বাদ']",2
"খুব বাজে খাবার, পাথর পাইছি খাবার থেকে",0,বাজে খা পাথর পাই খা থেক, বাজে খা পাথর পাইছি খা থেকে,"['বাজে', 'খা', 'পাথর', 'পাইছি', 'খা', 'থেকে']","['বাজে', 'খা', 'পাথর', 'পাই', 'খা', 'থেক']",6
পচা খাবার দিছে বিরিয়ানি খাওয়ার উপযোগী ছিল না তাই খাবার ফেলে দিতে হইছে,0,পচা খা দিছ বিরিয়ানি খাওয় উপযোগী না খা ফাল হই,পচা খা দিছে বিরিয়ানি খাওয়ার উপযোগী না খা ফেলে হইছে,"['পচা', 'খা', 'দিছে', 'বিরিয়ানি', 'খাওয়ার', 'উপযোগী', 'না', 'খা', 'ফেলে', 'হইছে']","['পচা', 'খা', 'দিছ', 'বিরিয়ানি', 'খাওয়', 'উপযোগী', 'না', 'খা', 'ফাল', 'হই']",10
খুব সাধারণ একটি বার্গার। আমি এটা মোটামুটি পছন্দ.,2,বার্গার মোটামু পছন্দ, বার্গার মোটামু পছন্দ,"['বার্গার', 'মোটামু', 'পছন্দ']","['বার্গার', 'মোটামু', 'পছন্দ']",3
অবশ্যই ট্রাই করবো,1,অবশ্য ট্রা করবো,অবশ্যই ট্রাই করবো,"['অবশ্যই', 'ট্রাই', 'করবো']","['অবশ্য', 'ট্রা', 'করবো']",3
বার্গার আহামরি বেশি না,2,বার্গার আহামরি না,বার্গার আহামরি না,"['বার্গার', 'আহামরি', 'না']","['বার্গার', 'আহামরি', 'না']",3
আপেল খেতে খারাপ,0,আপেল খেত খারাপ,আপেল খেতে খারাপ,"['আপেল', 'খেতে', 'খারাপ']","['আপেল', 'খেত', 'খারাপ']",3
পায়েস আর একটু বাড়ালে আরো ভালো হতো,2,পায়েস একটু বাড়ালে আরো ভালো হত,পায়েস একটু বাড়ালে আরো ভালো হতো,"['পায়েস', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হতো']","['পায়েস', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হত']",6
"মাটন ঝাল কারি অর্ডার করেছিলাম,টেস্ট ঠিক ছিল,কিন্তু পুরোটাই হাড্ডি।অল্প কিছু মাংস ছিল,তাও শক্ত।",2,মাটন ঝাল কারি অর্ড করেছি টেস্ট পুরো হাড্ডি অল্প মাংস তাও শক্ত,মাটন ঝাল কারি অর্ডার করেছিলাম টেস্ট পুরোটাই হাড্ডি অল্প মাংস তাও শক্ত,"['মাটন', 'ঝাল', 'কারি', 'অর্ডার', 'করেছিলাম', 'টেস্ট', 'পুরোটাই', 'হাড্ডি', 'অল্প', 'মাংস', 'তাও', 'শক্ত']","['মাটন', 'ঝাল', 'কারি', 'অর্ড', 'করেছি', 'টেস্ট', 'পুরো', 'হাড্ডি', 'অল্প', 'মাংস', 'তাও', 'শক্ত']",12
"সব মিলিয়ে, এটি অবশ্যই একটি আইটেম এবং একটি অভিজ্ঞতা যা আমাকে ভাল অনুভব করে।",2,মিলিয়ে অবশ্য আইটেম অভিজ্ঞতা আমা ভাল অনুভব করে, মিলিয়ে অবশ্যই আইটেম অভিজ্ঞতা আমা ভাল অনুভব করে,"['মিলিয়ে', 'অবশ্যই', 'আইটেম', 'অভিজ্ঞতা', 'আমা', 'ভাল', 'অনুভব', 'করে']","['মিলিয়ে', 'অবশ্য', 'আইটেম', 'অভিজ্ঞতা', 'আমা', 'ভাল', 'অনুভব', 'করে']",8
ফ্রেন্স ফ্রাই এভারেজ,2,ফ্রেন্স ফ্রা এভারেজ,ফ্রেন্স ফ্রাই এভারেজ,"['ফ্রেন্স', 'ফ্রাই', 'এভারেজ']","['ফ্রেন্স', 'ফ্রা', 'এভারেজ']",3
পিঠা আর আরেক্টু বাড়ালে জমতো,2,পিঠা আরেক্টু বাড়ালে জম,পিঠা আরেক্টু বাড়ালে জমতো,"['পিঠা', 'আরেক্টু', 'বাড়ালে', 'জমতো']","['পিঠা', 'আরেক্টু', 'বাড়ালে', 'জম']",4
"মিডিয়াম সাইজ চিজি পিজ্জা অর্ডার করেছিলাম,টেস্ট,ডেলিভারি টাইমিং ঠিকই আছে",1,মিডিয়াম সাইজ চিজি পিজ্জা অর্ড করেছি টেস্ট ডেলিভারি টাইমিং ঠিক আছ,মিডিয়াম সাইজ চিজি পিজ্জা অর্ডার করেছিলাম টেস্ট ডেলিভারি টাইমিং ঠিকই আছে,"['মিডিয়াম', 'সাইজ', 'চিজি', 'পিজ্জা', 'অর্ডার', 'করেছিলাম', 'টেস্ট', 'ডেলিভারি', 'টাইমিং', 'ঠিকই', 'আছে']","['মিডিয়াম', 'সাইজ', 'চিজি', 'পিজ্জা', 'অর্ড', 'করেছি', 'টেস্ট', 'ডেলিভারি', 'টাইমিং', 'ঠিক', 'আছ']",11
খাদ্য খুব খারাপ।,0,খাদ্য খারাপ,খাদ্য খারাপ,"['খাদ্য', 'খারাপ']","['খাদ্য', 'খারাপ']",2
ফ্রেন্স ফ্রাই তুলনা মূলক ভাবে কম,2,ফ্রেন্স ফ্রা তুলনা মূলক কম,ফ্রেন্স ফ্রাই তুলনা মূলক কম,"['ফ্রেন্স', 'ফ্রাই', 'তুলনা', 'মূলক', 'কম']","['ফ্রেন্স', 'ফ্রা', 'তুলনা', 'মূলক', 'কম']",5
"স্বাদ ভালো লেগেছে, কিন্তু মুরগির মাংসের পরিমাণ ছিল অনেক কম।",2,স্বাদ ভালো মুরগির মাংস পরিমাণ কম,স্বাদ ভালো মুরগির মাংসের পরিমাণ কম,"['স্বাদ', 'ভালো', 'মুরগির', 'মাংসের', 'পরিমাণ', 'কম']","['স্বাদ', 'ভালো', 'মুরগির', 'মাংস', 'পরিমাণ', 'কম']",6
ফ্রেন্স ফ্রাই খুব ভালো লেগেছে,1,ফ্রেন্স ফ্রা ভালো লাগ,ফ্রেন্স ফ্রাই ভালো লেগেছে,"['ফ্রেন্স', 'ফ্রাই', 'ভালো', 'লেগেছে']","['ফ্রেন্স', 'ফ্রা', 'ভালো', 'লাগ']",4
মাংস পরিমানে অনেক কম,0,মাংস পরিমানে কম,মাংস পরিমানে কম,"['মাংস', 'পরিমানে', 'কম']","['মাংস', 'পরিমানে', 'কম']",3
সমুচা আরেকটু বেশি দরকার,2,সমুচা আরেকটু দরক,সমুচা আরেকটু দরকার,"['সমুচা', 'আরেকটু', 'দরকার']","['সমুচা', 'আরেকটু', 'দরক']",3
মেজবানি গোস্তের বদলে মেজবানি গোস্তের তেল দিসে,0,মেজবানি গোস্ত মেজবানি গোস্ত তেল দিসে,মেজবানি গোস্তের মেজবানি গোস্তের তেল দিসে,"['মেজবানি', 'গোস্তের', 'মেজবানি', 'গোস্তের', 'তেল', 'দিসে']","['মেজবানি', 'গোস্ত', 'মেজবানি', 'গোস্ত', 'তেল', 'দিসে']",6
আপেল লোভনীয় ,1,আপেল লোভনীয়,আপেল লোভনীয়,"['আপেল', 'লোভনীয়']","['আপেল', 'লোভনীয়']",2
খিচুড়ি দুর্গন্ধযুক্ত,0,খিচুড়ি দুর্গন্ধযুক্ত,খিচুড়ি দুর্গন্ধযুক্ত,"['খিচুড়ি', 'দুর্গন্ধযুক্ত']","['খিচুড়ি', 'দুর্গন্ধযুক্ত']",2
খাবার তৈরি করতে এক ঘন্টা সময় লেগেছিল খাবারটি একটু বেশি সাদা সস দিয়ে শালীন ছিল এবং এটি ভিজে গেছে,1,খা তৈরি এক ঘন্ সময় লাগ খাবারটি একটু সাদা সস শালীন ভিজে গেছ,খা তৈরি এক ঘন্ সময় লেগে খাবারটি একটু সাদা সস শালীন ভিজে গেছে,"['খা', 'তৈরি', 'এক', 'ঘন্', 'সময়', 'লেগে', 'খাবারটি', 'একটু', 'সাদা', 'সস', 'শালীন', 'ভিজে', 'গেছে']","['খা', 'তৈরি', 'এক', 'ঘন্', 'সময়', 'লাগ', 'খাবারটি', 'একটু', 'সাদা', 'সস', 'শালীন', 'ভিজে', 'গেছ']",13
রোস্ট খেতে মোটামটি ,2,রোস্ট খেত মোটাম,রোস্ট খেতে মোটামটি,"['রোস্ট', 'খেতে', 'মোটামটি']","['রোস্ট', 'খেত', 'মোটাম']",3
সবজি আর আরেক্টু হলে জমতো,2,সবজি আরেক্টু জম,সবজি আরেক্টু জমতো,"['সবজি', 'আরেক্টু', 'জমতো']","['সবজি', 'আরেক্টু', 'জম']",3
মোটামুটি ভালো ছিল আলহামদুলিল্লাহ। যেভাবে দাম দেখিয়ে ছাড় দিয়েছে সে তুলনায় না।,2,মোটামু ভালো আলহামদুলিল্লাহ যে দাম দেখা ছাড় দিয় তুলনায় না,মোটামু ভালো আলহামদুলিল্লাহ যে দাম দেখিয়ে ছাড় দিয়েছে তুলনায় না,"['মোটামু', 'ভালো', 'আলহামদুলিল্লাহ', 'যে', 'দাম', 'দেখিয়ে', 'ছাড়', 'দিয়েছে', 'তুলনায়', 'না']","['মোটামু', 'ভালো', 'আলহামদুলিল্লাহ', 'যে', 'দাম', 'দেখা', 'ছাড়', 'দিয়', 'তুলনায়', 'না']",10
ফালতু খাবার,0,ফালতু খাবা,ফালতু খাবার,"['ফালতু', 'খাবার']","['ফালতু', 'খাবা']",2
কাবাব এভারেজ লেগেছ,2,কাবাব এভারেজ লাগ,কাবাব এভারেজ লেগেছ,"['কাবাব', 'এভারেজ', 'লেগেছ']","['কাবাব', 'এভারেজ', 'লাগ']",3
"একদমই বাজে। হট ডগ এর ভেতরকার সজেস এ কোন মাংস ছিল না যদিও ,ওটা চিকেন হট ডগ ছিল। সস এর মধ্যে মরিচের গুঁড়া। খেতে পারিনি এক কামড় খেয়ে ফেলে দিয়েছি",0,একদম বাজে হট ডগ ভেতরক সজেস মাংস না ওটা চি হট ডগ সস মরিচ গুঁড়া খেত পারিনি এক কামড় খেয়ে ফাল দিয়ে,একদমই বাজে হট ডগ ভেতরকার সজেস মাংস না ওটা চি হট ডগ সস মরিচের গুঁড়া খেতে পারিনি এক কামড় খেয়ে ফেলে দিয়েছি,"['একদমই', 'বাজে', 'হট', 'ডগ', 'ভেতরকার', 'সজেস', 'মাংস', 'না', 'ওটা', 'চি', 'হট', 'ডগ', 'সস', 'মরিচের', 'গুঁড়া', 'খেতে', 'পারিনি', 'এক', 'কামড়', 'খেয়ে', 'ফেলে', 'দিয়েছি']","['একদম', 'বাজে', 'হট', 'ডগ', 'ভেতরক', 'সজেস', 'মাংস', 'না', 'ওটা', 'চি', 'হট', 'ডগ', 'সস', 'মরিচ', 'গুঁড়া', 'খেত', 'পারিনি', 'এক', 'কামড়', 'খেয়ে', 'ফাল', 'দিয়ে']",22
সমুচা টেস্ট খুবই অসাধারণ,1,সমুচা টেস্ট খুব অসাধারণ,সমুচা টেস্ট খুবই অসাধারণ,"['সমুচা', 'টেস্ট', 'খুবই', 'অসাধারণ']","['সমুচা', 'টেস্ট', 'খুব', 'অসাধারণ']",4
কাচ্চি ভাল তবে মানের দিকে আরো একটু খেয়াল দিবেন আশাকরি।,2,কাচ্চি ভাল মান আরো একটু খেয়াল দিব আশাকরি,কাচ্চি ভাল মানের আরো একটু খেয়াল দিবেন আশাকরি,"['কাচ্চি', 'ভাল', 'মানের', 'আরো', 'একটু', 'খেয়াল', 'দিবেন', 'আশাকরি']","['কাচ্চি', 'ভাল', 'মান', 'আরো', 'একটু', 'খেয়াল', 'দিব', 'আশাকরি']",8
"পানিপুরি আর ফুচকা কোনোটারই টেস্ট ভালো লাগেনি,টপিং এর যে ডাবলিটা একদম শক্ত ছিলো আর সাথে ফ্রিজের ঠান্ডা টক দিয়েছে৷ পার্সোনালি আমি সাজেস্ট করি না।",0,পানিপুরি ফুচকা কোনো টেস্ট ভালো লাগেনি টপিং যে ডাব একদম শক্ত ছিলো সাথে ফ্রিজ ঠান্ডা টক দিয় পার্সোনালি সাজেস্ট করি না,পানিপুরি ফুচকা কোনোটারই টেস্ট ভালো লাগেনি টপিং যে ডাবলি একদম শক্ত ছিলো সাথে ফ্রিজের ঠান্ডা টক দিয়েছে পার্সোনালি সাজেস্ট করি না,"['পানিপুরি', 'ফুচকা', 'কোনোটারই', 'টেস্ট', 'ভালো', 'লাগেনি', 'টপিং', 'যে', 'ডাবলি', 'একদম', 'শক্ত', 'ছিলো', 'সাথে', 'ফ্রিজের', 'ঠান্ডা', 'টক', 'দিয়েছে', 'পার্সোনালি', 'সাজেস্ট', 'করি', 'না']","['পানিপুরি', 'ফুচকা', 'কোনো', 'টেস্ট', 'ভালো', 'লাগেনি', 'টপিং', 'যে', 'ডাব', 'একদম', 'শক্ত', 'ছিলো', 'সাথে', 'ফ্রিজ', 'ঠান্ডা', 'টক', 'দিয়', 'পার্সোনালি', 'সাজেস্ট', 'করি', 'না']",21
পিঠা একদম বাজে,0,পিঠা একদম বাজে,পিঠা একদম বাজে,"['পিঠা', 'একদম', 'বাজে']","['পিঠা', 'একদম', 'বাজে']",3
সিংগারা পরিমানে অনেক কম,0,সিংগা পরিমানে কম,সিংগারা পরিমানে কম,"['সিংগারা', 'পরিমানে', 'কম']","['সিংগা', 'পরিমানে', 'কম']",3
"চটপটি টা খুব ঝাল ছিল, স্বাদ মোটামুটি, আমার ভাল লাগছে",1,চটপ ঝাল স্বাদ মোটামু ভাল লাগ,চটপটি ঝাল স্বাদ মোটামু ভাল লাগছে,"['চটপটি', 'ঝাল', 'স্বাদ', 'মোটামু', 'ভাল', 'লাগছে']","['চটপ', 'ঝাল', 'স্বাদ', 'মোটামু', 'ভাল', 'লাগ']",6
"মাংশ যথেষ্ট ছিল, কিন্তু গন্ধটা কেমন যেন",1,মাংশ গন্ধ কেমন যেন,মাংশ গন্ধটা কেমন যেন,"['মাংশ', 'গন্ধটা', 'কেমন', 'যেন']","['মাংশ', 'গন্ধ', 'কেমন', 'যেন']",4
খাবারগুলো এনেছে দেরিতে। খাবার হুলো এতো ঝাল এতো ঝাল দেওয়া ঠিক না।,0,খাবা এন দেরি খা হুলো এত ঝাল এত ঝাল না,খাবারগুলো এনেছে দেরিতে খা হুলো এতো ঝাল এতো ঝাল না,"['খাবারগুলো', 'এনেছে', 'দেরিতে', 'খা', 'হুলো', 'এতো', 'ঝাল', 'এতো', 'ঝাল', 'না']","['খাবা', 'এন', 'দেরি', 'খা', 'হুলো', 'এত', 'ঝাল', 'এত', 'ঝাল', 'না']",10
রোস্ট মোটামুটি ,2,রোস্ট মোটামু,রোস্ট মোটামুটি,"['রোস্ট', 'মোটামুটি']","['রোস্ট', 'মোটামু']",2
সিংগারা সেরা,1,সিংগা সের,সিংগারা সেরা,"['সিংগারা', 'সেরা']","['সিংগা', 'সের']",2
পায়েস ভালো ছিল কিন্তু দামে বেশি,2,পায়েস ভালো দামে বেশি,পায়েস ভালো দামে বেশি,"['পায়েস', 'ভালো', 'দামে', 'বেশি']","['পায়েস', 'ভালো', 'দামে', 'বেশি']",4
সিংগারা আর একটু হলে জমে যেত,2,সিংগা একটু জমে যেত,সিংগারা একটু জমে যেত,"['সিংগারা', 'একটু', 'জমে', 'যেত']","['সিংগা', 'একটু', 'জমে', 'যেত']",4
