Speech,Label
"মিরপুরের টায় খেয়েছিলাম, আগুন দামে আমাদের গরিবদের খেয়ে পোষাবে না ভাই",0
"আহামরি কিছুই না, এটা আমার মতামত। চুই এর কোন স্পেশাল স্বাদ ও পাই নি।",0
খুলনার চুঁইঝাল খুলনারই আর কোথাও ঐটার তুলনা হয়না। তবে ঝোল আরেকটু ঘন হওয়া উচিত।,0
অনেক তেল,0
খিচুড়ি তো তেলে পুরা ডুবায়ে দিসে.....,0
"খুব বাজে ,, দাম অনেক বেশি,, এমন টাকায় এর চেয়ে ভাল খাবার খাওয়া যায়,,",0
বিফ চাপ নষ্ট ছিল।পচা গন্ধযুক্ত খাবার ছিল,0
চিকেন বিরিয়ানি টা ভালো লাগেনি। মনে হচ্ছিল বাসি খাবার দিয়েছে।,0
জঘন্য তেহারি। পেট খারাপ করে মরার জন্য আদর্শ।,0
"বেশি ঝাল ছিল, ঝাল কম দিবেন",0
এমন ফালতু টেষ্টের স্যুপ বানানো জন্য এদের নোবেল দেওয়া উচিত। তোরা ব্যাবসা কেমনে করতেছিস ভাই। সবাই কে বলছি- আমার মত কেউ বোকা বনে যাবেন না এদের স্যুপ অর্ডার দিয়ে।,0
"পচা, বাসি, দুর্গন্ধ যুক্ত ডাল ভেলিভারি দিয়েছে, যা মুখে দিয়ে সাথে সাথে পুরো টাই ফেলে দিতে হয়েছিল। অনেক দিন ধরেই এই রেস্টুরেন্ট থেকে অর্ডার করি, আর কোন দিন অর্ডার করব না।",0
তেহারী তেল এ ভরা। খেয়ে আমার অবস্থা খারাপ।,0
চিকেন বটি কেউ ভুলেও খাইয়েন না,0
খুবই বাজে। খাবারে বাজে গন্ধ ছিল।,0
ভাজি তে লবণ বেশি,0
"মুগ ডাল থেকে প্রচন্ড ‌‌দুর্গন্ধ আসতেছিলো, ফেলে দিতে হলো। ফুড পান্ডা থেকে অর্ডার করা সবচেয়ে বাজে একটা অভিজ্ঞতা হলো।",0
বাজে,0
রাঁধুনি রেস্টুরেন্টে সার্ভিস দিন দিন খারাপ হয়ে যাচ্ছে। অর্ডার করেছিলাম ডাল গরুর মাংস আর ভাত। ডাল দেয় নাই। একটা ভর্তা দিছে।,0
দয়াকরে মানুষকে হয়রানী করবেন নাহ। অর্ডার করেছিলাম বড় চিংড়ী। কিন্তু ছোট চিংড়ী দিয়েছে। গত দিন হাস ভুনা অর্ডার করেছিলাম। হাঁসের মাংসে অনেক লোম ছিল। খাওয়ার রুচি হয় নাই। ফেলে দিয়েছিলাম সম্পূর্নটা!,0
খাবার হাইজেনিক নয়। খুব একটা টেস্ট লাগেনি। পরিমাণ ঠিক ছিল। আশাকরি খাবারের মান উন্নত করবেন।,0
কাঁচ্চিতে প্রায় তেহারি সাইজের ছোট এক পিস খাসির মাংস দিয়েছে শুধু .,0
"অর্ডার করছি কাচ্চি মটন বিরানী,দিয়ে গেল তেহারি, এক টুকরো মাংস পাইলাম, এতই সাইজ ছোট যে বলার মতো না, ফাইজলামির একটা লিমিট থাকা দরকার",0
খুবই বাজে। ছোট এক টুকরো হাড্ডি ছাড়া মাংসের কোন বালাই ছিল না। ফালতু যত্তসব।।,0
জঘন্য খাবার। ফানি দিয়া গিল্লা খাওয়া লাগছে শেষে!,0
খাবার টা গন্ধ হয়ে গিয়েছিল। পুরো খাবার ফেলে দিতে হয়েছিল,0
চিকেন রোস্ট একেবারে বাজে স্বাদ নেই কাচ্চি মোটামুটি শুকনা ছিল এভাবে চলল সুলতান ডাইনস বসুন্ধরায় বসে যাবে,0
"খাসির মাংসে কোন স্বাদ ছিলো না। কতোদিন যে খাসির মাংসগুলো ফ্রিজে ছিলো কে জানে!!! সুলতান ডাইনস থেকে এমনটা আশা করি না। আশা করি, মাংসের কোয়ালিটির দিকে পরবর্তীতে খেয়াল রাখবে।)",0
খুবই বাজে। মাংস আর মশলা পোড়া ছিল। হতাশ!,0
অফার দিলে ওনারা মাংসের পরিমাণ কমিয়ে দেয়। রেগুলার মাংসর থেকে হাড়ের পরিমাণ বেশি থাকে।,0
খিচুড়িটা বাসি খাবার ছিল,0
"খাবার বাসি ছিল। খেতে পারি নাই। সবসময়ই অর্ডার করি, ভালোই থাকে, আজকে একদমই বাসি খাবার দেয়া হয়েছে।",0
বাসি খাবার ছিল ।পোলাও গন্ধ ছিল,0
অনেক বেশি দেরিতে এসে পৌঁছেছে। কলসেন্টারে বারবার যোগাযোগ করেও কোন ফল পাওয়া যায়নি। খাবার ছিল বৃষ্টির পানিতে ভেজা এবং সিল ভাঙ্গা ছিল। রাইডার কোনরকম যোগাযোগ করেনি। খাবারের মান ছিল অত্যন্ত নিম্নমানের।,0
বাজে ও খাবারের মান খারাপ পেয়েছি আজ,0
মাংসের চেয়ে আলু বেশি ছিলো।,0
খুবি খারাপ ছিল।বাসি খাবার।কোন টেস্ট ছিলনা কাচা পিয়াজ দিয়েছিল উপরে যেটা আরো খারাপ লেগেছে।বাসি ফ্রেঞ্চ ফ্রাই ছিল।টেস্ট এর কোন কম্বিনেশনই ছিল না।,0
"ফার্মের মুরগির রানের হাড় ছাড়া মাংস ৩ টুকরো ছিল। তবে তেল, লবণ ও অন্যান্য মসলা ছাড়া শুধু হলুদ দিয়ে মাংস সিদ্ধ করেছে মনে হলো । তাই হলুদের কাঁচা গন্ধ ছিল। পরোটাও কাঁচা ছিল। পরোটা আরেকটু ভাজলে ভালো হতো। বুঝি না, কে এতো দাম দিয়ে (২৬৪ টাকা) এই বিস্বাদ খাবার খায়। প্যাকেজিং খুব সুন্দর। কিন্তু খাবার সুস্বাদু হওয়া দরকার।",0
সিগনেচার চিকেন বার্গারের চিকেন কচকচ করে। মানে ভিতরে কাচা। আচারি রাইসের চিকেনের উপরে টক দই দিসে নাকি চুনা দিসে সেটা ম্যাডশেফ বলতে পারবে। ওয়াস্ট অফ মানি। অভার রেটেড রেস্টুরেন্ট।,0
"আগের কাটা পেয়াজ ছিলো, যার গন্ধে খাওয়ার যাচ্ছিলো না",0
"একদম বাজে, আমি অর্ডার করেছিলাম চিকেন মাসালা, মোমো আর আমাকে দেয়া হয়েছে চিকেন মাসালা ঢোসা",0
কোয়ান্টিটি কম,0
"চিটার রেস্টুরেন্ট, হাফ চিকেনের কথা বলে ২ টা লেগ পিস দিছে",0
বাজে লেভেলের ফুড😓😓,0
"ফালতু বিরানী,",0
"বস্তিপচা খাবার, চাপ সিদ্ধ করেনা",0
"হায়দ্রাবাদি বিরিয়ানি কিভাবে করতে হয় সেটা তাদের শিখাতে হবে, বাসমতি রাইস মনে হয় তারা চিনে না, 2 টুকরা এর মধ্যে একটি ছোট অপরটি পুরোপুরি চর্বি। এত দাম দিয়ে, ভ্যাট দিয়ে মানুষকে ঠকাবেন না।",0
"আমার টাকা নিয়ে ডেলিভারি দেনাই,, আমি অভিযোগ করবো ফুড পান্ডার বিরুদ্ধে,,",0
জঘন্য,0
ভাল না,0
বাশি পিজ্জা দিসে🤧,0
ন্যাতানো ফ্রেন্চ ফ্রাই ছিলো,0
মোরগ পোলাও নষ্ট ছিল। খেতে পারিনি।,0
বাজে খাবার দেওয়া হয়েছে,0
খাবার সহ পাইনি,0
"আগের বার সিঙ্গারার সাইজ একটু বড় ছিল আজকের তুলনায়। ৭ টাকায় সিঙ্গারা যদি আজকের মত ছোট হয়, আসলে পোষায় না। আশা করবো খেয়াল রাখবেন বিষয়টার।",0
খুবই খারাপ ছিল,0
"আলু ভর্তায় বাসি পেয়াজ ব্যাবহার করেছেন। চুল পেয়েছি ভর্তায় আর ভর্তার ভেতর তেল,নুন ধুকেইনি। মোটকথা বিস্বাদ ভর্তা। আর ৩০ টাকায় ১ প্লেট ভাত? পরিমান অনুযায়ী আপনার ভাতের দাম হতে পারতো ১০-১৫ টাকা। ফিস কারি ভালো ছিলো। সব মিলিয়ে ২য় বার অর্ডার দেয়ার মত নয় মোঠেও।",0
"বীফ বিরানি অর্ডার করেছিলাম, বাসী খাবার,বাজে দুর্গন্ধ ছিল, অর্ধেক খাওয়া ছিল,",0
খানা মজা nai দাম বেশি,0
সব্জি গুলো ভালো হয়নি আর প্যাকেজিং টাও ভালো না,0
ঠান্ডা ছিলো খাবার,0
আলু ভর্তাটা সম্পুর্ন বরফ অবস্থা। ফ্রিজ থেকে নাময়ে দিসে যা ছিল খাওয়ার অযোগ্য। আর ফ্রীর্নি ও সেই একি অবস্থা। 3-4 দিন আগে। ফ্রিজে থাকতে থাকতে পানি জমে গেছে।,0
খুবই খারাপ খাবার।,0
খাবারের মান তেমন ভালো ছিল না।।।,0
বিশ্ব বাটপার।,0
খুবই বাজে। একটি পিজ্জা এতো পাতলা হয় আজ না খেলে জানতাম না। এক্সট্রা চিজ এড করা হয়েছিল তাও এড করে নি। সবমিলিয়ে খুবই বাজে অভিজ্ঞতা হলো।,0
বাসি ছিল কাচ্চিটা মুরাদপুর এর থেকে বেটার,0
সার্ভিস এত বেশি ভালো না,0
খাবারের কোয়ালিটি এবং কোয়ান্টিটি দুটাই কমে গেছে। ২৫০ টাকার কাচ্ছির মধ্যে সবগুলো চর্বি! আর রাইডারকে মনে হয় ফুডপান্ডা টাকা দেয় না! ওরে বকসিস না দিলে ও যাবে না!,0
খাবার খুব খুব বাজে ছিলো।পোলাও রাইস টা সম্পূর্ণ পচা ছিলো। এই রকম সার্ভিস আশা করি নাই।অলরেডি পেট এ সমস্যা হচ্ছ।,0
খাবার পরিমাণে খুবই কম,0
২০০ টাকা নিয়ে ২০ টাকার পাস্তা ও দেয় নাই,0
খুব বাজে... চিকেন চাপটা পোড়া গন্ধ,0
আমি আমার প্রথম খাবার পাই নাই।,0
খাবারের মান ভাল ছিলো না।কেকটা ৫দিনের আগের ছিলো। কুপারসের কাছে এরকম আশা করি না।,0
খাবার মান আগের থেকে অনেক নিচে নেমে গিয়েছে।,0
গত ২৬ বছরে ২৫০ টাকা দিয়ে এমন বাজে খাবার কিছুই খাই নাই।,0
"এত এত বেশী দাম কল্পনার বাইরে, কালাভুনা ৭০০ টাকা? সামান্য ৩জন ও খেতে পারবে না। ফালতু বিজনেস",0
বাসি হালোয়া দিয়ে দিছে! ছবিতে এক বাস্তবে আরেক! আর ইলিশ মাছ মেবি ৬-৭ মাস আগের! মসলা দিয়ে পুরাই রাখছে! ফালতু সার্ভিস,0
খাবার ভালো ছিল না,0
"ভীষণ খারাপ খাবার ফ্রাইডরাইস আর কেশনাট অর্ডার করেছিলাম,, এতো বাজে টেস্ট",0
খাবার এত ভালো ছিলো না,0
ডালে হলুদ বেশি ছিল,0
দয়া করে অর্ডার করবেন না।।১ স্টার দিতেও কষ্ট হচ্ছে।।খাবার এর পরিমাণ এতো কম তার উপর চুল ফ্রি খাবার এর সাথে।।,0
খাবারের মান বেশি একটা ভালো না।,0
নষ্ট রুটি দিয়েছে,0
খাবারের পরিমাণ খুব কম ছিল অন্যান্য রেস্টুরেন্টে চাইতে,0
একদম বাজে খাবার কোন স্বাদ নেই,0
"ঝাল হয়েছে অনেক চিকেন খিচুড়ি টা,মা অসুস্থ ছিলো,তাই এনে ছিলাম,কিন্তু খেতে পারে ৷ নাই।😥",0
"বাই ওয়ান-গেট ওয়ান,একটা বাজে খাবার।খাবারের মান আরো উন্নতি করুন।হুদাই পাবলিকের টাকা নিয়ে নিচ্ছেন।",0
মুরগির পিছ ছোট হয়ে গেছে এইটা বড় করতে হবে,0
ওভারঅল সবকিছুর ভালো ছিল,0
তাদের খাবারের মূল্য পেকেটের গায়ের চেয়ে ৫ ৳ বেশি।।।। এত দাম দিয়ে বাজে খাবার খাওয়া ঠিক হয়নি।। খাবারের মান তেলমন ভালোনা প্রাইজ বেশি নিচ্ছে।।,0
সব দোকানকে নির্দেশ দেওয়া দরকার যাতে ভাল শপিং ব্যাগ দেয়। পলিথিনেে করে খাবার ডেলিভারি করা খুবই হতাশাজনক,0
"চটপটি, ফুসকা,আর চাট। স্সবাদ সবগুলোর একই । আমি যদি শুধু চটপটি অর্ডার করতাম তাও ভাল হত। স্বাদ এতটা ভাল না।",0
দই ফুসকা ভালো লাগচ্ছে কিন্তুক দই চিড়া ভালো লাগে নাই,0
খাবার পরিমাণে কম ছিল,0
এত টাকা দিয়ে ৪ পিছ বোনলেস চিকেন কারি …. এইভাবে না টোকাইলে পারতেন 😡,0
একদম পালতু খাবার।বাসি খাবার একদম।,0
আগে ১১০ টাকায় যে জার এ ফালুদা দেয়া হতো তা এখন ছোট জার এ দিচ্ছে যা আগের পরিমানে কম নাকি সমান আমি পরিমান করতে পারিনি তবে আগের জার টা ই ভালো ছিলো৷ ডিসকাউন্ট মানে ত জার পরিবর্তম বা পরিমানে কমানো হলে ডিসকাউন্ট দেয়ার দরকার নেই৷ এমনিতে আগের চেয়ে জেলি ও কমে গেছে৷ আর নিবো না৷,0
পরিমাণ অনেক অনেক কম,0
ফালতু খাবার😡,0
"ওর্ডার করেছিলাম পানি পুরি, ডেলিভারী করছেন ফুচকা!",0
মনে হয় ফ্রীজে যত বাঁধাকপি ছিল আমার ফ্রাইড নুডলসে দিয়ে দিসে।,0
বিরিয়ানি আধা প্যাকেট পেলাম। সমস্যা কোথায় বুঝলাম না।,0
১৫০ টাকার ফ্রেঞ্চ ফ্রাই সাথে সস আর মেয়োনিজ ছাড়া। কল দিলে বলে আলাদাভাবে অর্ডার দেননাই কেনো? জীবনে আলাদাভাবে অর্ডার দিয়ে কে ফ্রেঞ্চ ফ্রাই খায় জানিনা।,0
বিরিয়ানি টা নস্ট ছিল স্বাধ গন্ধ ছাড়াই,0
পুরাতন গন্ধযুক্ত খাবার,0
ভাই রে ভাই ২১১ টাকা দিয়ে বায় ওয়ান গেট ওয়ান দেখসিলাম তাই তো অর্ডার দিলাম আর তারপর তো দেখি ডিম নাই জাস্ট মোরগ পোলাও? আর ২১১ টাকার কোনো খাওয়ার ই নাই আজিব ব্যাপার 🙃,0
"খুবই নিকৃষ্ট খাবার, প্যাকেজ দিয়ে চিটারি করছে। প্যাকেজে যা বলা আছে, বাস্তবে তা থাকেনা।",0
ঝাল ছিলো খাবার৷ অনেকটা ড্রাই,0
"ভাইরে ভাই, চিকেন কাবাব বার্গার ও চিকেন চিজ কাবাব বার্গারের মাঝে কোন পার্থক্য নেই। হুদাই টাকা লস।",0
খাচ্ছি টা ভালো ছিল না. মাংসটা চাবানো যাচ্ছিল না এত শক্তি ছিল.,0
"টাকার প্রতি দরদ না থাকলে, রাস্তার অভুক্ত কাউকে দান করা ভাল। নতুন রেস্টুরেন্ট ভাল হবে ভেবে ধরা খেলাম।🤬",0
চিকেন রোষ্ট অনেক ছোট,0
এত ফালতু ইফতার কমই খাইসি,0
"টমেটো ভর্তা গন্ধ ছিলো,,মানে খাওয়ার মতো না,, নেক্সট টাইম থেকে আশা করি ভালো সার্ভিস পাবো",0
বাসি খাবার দেয়া হয়েছে।,0
হোমমেড খাবার ভাবছিলাম ভালো হবে। কিন্তু খুব বাজে ছিল। আশা করি সব কিছু হালাল করে নিবেন। ইনশাআল্লাহ আল্লাহ অনেক বরকত দিবে।,0
খাবার ছিলো পুরাই জগন্য।এদেরকে ফুডপান্ডা থেকে বের করে দেওয়া উচিত,0
"পিৎজা অর্ডার করেছিলাম, নষ্ট ছিলো",0
খাবার অর্ডার দিয়েছে দুই ঘন্টা হয়ে গেছে এখনো খাবার আসতেছে কিনা তাও ঠিক বুঝতে পারতেছিনা এক্সপেরিয়েন্স কি বলবো মাথায় কাজ করছেনা,0
ফিরনির সাথে চামচ দেওয়া হয় নাই,0
আমার জীবনের সব চেয়ে খারাপ বিরিয়ানি খেলাম। বমি চলে আসছে। অমানুষের বাচ্চারা টাকা বরাবর নিয়ে খারাপ খাবাট দেয়,0
ফালতু খাবার,0
একদম ফালতু।মাছের পিচ ২টা অর্ডার ছিল।দিয়েছে ১টা। বাজে প্যাকিং।,0
"পোড়া পোড়া ফুচকার খোসা,টক আর দই গন্ধ।",0
সালাদ দেয় নাই এবং টক অনেক পুরোনো,0
খুব বাজে ঠান্ডা ফুচকা কতগুলো,0
"ভাতের পরিমান খুব কম দেয়। আলুভর্তা এর পরিমান ও খুব কম। মুরগীর পিস দিছে, যেটা ছোট.. কিন্তু কোয়ালিটি ঠিকাছে রান্নার.",0
খাবারগুলো এনেছে দেরিতে। খাবার হুলো এতো ঝাল এতো ঝাল দেওয়া ঠিক না।,0
শুটকি ভর্তাতে শুটকির অস্তিত্বও নেই।,0
ভাতের পরিমান খুব খুব কম ছিলো! ৩ টা ফুল অর্ডার দিয়েছিলাম! কিন্তু মনে হয় ১ জনের হবে ভাত! তবে গরুর গোস্তটা দারুন ছিলো!,0
ডিম এর খোসা ছিল😝😝 মাংসের বিড়িয়ানি তে মংসই ছিল না,0
একদম বাজে খাবার,0
মাংশ মাত্র ২ পিছ করে দেওয়া হইছে,0
খুবই বাজে খাবার। রাস্তার ফুটপাতে খাবার এটা থেকে ভালো,0
ফালতু বিরানি। এর চেয়ে রাস্তার পাশে কাউয়া বিরানি আরো বেশি ভালো,0
"খুবই খাবার দেখিয়েছে একটা দিলো আরেকটা এগুলো তো বাটপারি। এরা ধোকাবাজ, চিটার, বাটপারি ছাড়া আর কিছুই না। কেউ এদের থেকে অর্ডার করিয়েন না।",0
খুবি বাজে একটা বার্গার দিছে! কোন মেয়নিজ নাই। ২ টা বন আর পিয়াজ দিয়ে দিয়ে দিছে! এগুলা ফুটপাতে ২০ টাকা দিয়ে সেল করে!,0
"ভাতটা ভালো ছিলো কিন্তু কোয়ান্টিটি কম। আর বার্গারটা একদম বাজে ছিলো। চিকেন স্পেশিয়াল বার্গার (পপুলার) এই খাবার যদি এমন হয়?? পেকিং সিস্টেমও ভালো করা প্রয়োজন, ভাত অনেকটা পলিথিনে পরে গিয়েছে।",0
ঠান্ডা নাচোস দিয়েছে,0
ভাঙ্গা ডিম দেয়াটা প্রতারণা,0
"খাবার অর্ডার করা হয়েছে একটা, এসেছে অন্যে একটা, খুবই দুঃখজনক ব্যাপার এইটা!!",0
পরিমাণ কম দিছে অনেক। স্বাদও কেমন জানি কমে গেছে।,0
খাবারের মান আগের চেয়ে খারাপ! মনে হয় ধনিয়া পাতা দিয়ে চিকেন খিচুড়ি রান্না করা হয়েছে! ধনিয়াটা সামান্য দেওয়া যেতে পারে যা পরে মানুষ তার পছন্দ মতো খাবে। ধনিয়া নিয়ে খুবি বাজে অভিজ্ঞতা! আর তেলটা খুব বেশি ব্যাবহার করা হয়।,0
খাবার সব একদম ঠান্ডা ছিল।,0
"লইট্টা ফ্রাইটা একেবারেই কাঁচা ছিল আবার ভাজতে হয়েছে। মাংস, ডাল কোনটাই রান্না ভাল ছিলনা, ডালের জিরার জন্য রীতিমত তিতা লাগছিল। সব মিলে একদমই ভালনা..",0
"ভাইজান, দুইটি ফিস ভর্তার একটি আপনারা রেখে দিলেন? খুব কষ্ট পাইলাম।",0
অডার করলাম ভুনা খিচুড়ি পেলাম মসলা মেশানো ভাত,0
গতকালের খাবার ভালোই লাগছিলো। তাই আজ আবার অর্ডার করি। কিন্তু গতকালের তুলনায় আজ ভালো লাগে নাই। মাংসের পিস গুলো ছোট ছোট হয়ে গেছে...,0
"ওরশের বিরিয়ানি টা খুব বাজে ছিল। একেতো ঠান্ডা আর হলুদ দিয়া ভাত। আপনাদের অন্য খাবার ভালো, সেইজন্য নতুন আইটেম ট্রাই করলাম। সত্যি খুব বাজে।",0
আপনারা এত অল্প রাইস দেন! বুঝলাম না! খুব বাযে ব্যাপারটা,0
ভালো না- উদাই গেছে- নাচোস এইভাবে কেউ পার্সেল দেয়?????,0
কোন সালাত দেওয়া হয় নাই,0
খুবই বাজে ঠান্ডা খাবার পরিমান কম। এমন জানলে অডার করতাম না।,0
খুব খারাপ ছিলো। ভাতের পরিমান অনেক কম ছিলো। পুরো খাবারটা ঠান্ডা ছিলো।,0
"ভাই, আগে রান্না শিখে বাসায় খাওয়ান, আত্মীয়স্বজনদের খাওয়ান। প্রাক্টিস করেন। তারপর ফিল্ডে খেলাধুলা করতে নাইমেন। পোলাও গুলো জাস্ট সাদাভাত তেলে মেখে দিলেন মনে হয়। ৩★ দিলাম পরিমানের কারনে। নয়তো ১★ দিতাম। পরিমান ভাল ছিল।",0
"প্রতিটা দুধের প্যাকেট ৪৬০ থেকে ৪৯০ গ্রামের মধ্যে। প্রতিটা প্যাকেটেই অল্প পরিমাণ হলেও দুধ কম আছে।একটা প্যাকেটও পেলাম না যেখান ৫০০ গ্রাম থেকে বেশি দুধ আছে। ২৪ প্যাকেট দুধ আমি নিয়েছি,তাহলে হিসাব করে দেখেছেন প্রতিটা প্যাকেটে অল্প অল্প করে হলে কতটা দুধ কম দিয়েছেন।",0
বোরহানি নষ্ট হয়ে গেছিলো!ছত্রাক পড়ে গেছিলো।,0
বাজে ফুড। 5 টাকার বন রুটি কিনে টমেটো সস দিয়ে দুই এক পিস মাংস ঢুকায় দিলি এটা শর্মা বার্গার হয়না।,0
যেটা অর্ডার করেছি সেটা পাইনি। চিজি নাচোস অর্ডার করে চিকেন নাচোস পেয়েছি৷ নাচোস ফ্রেস ছিলনা। ফাংগাস পড়েছিল কয়েকটিতে।,0
এত্তো বাজে খাবার!!! ছি!! খাবার খেয়ে আমার বুম আসতেছে বাজে খাবার!!!,0
খাবার ভালো ছিলো না,0
আমি ফুডপাণ্ডার একজন নিয়মিত গ্রাহক। আমি আজকে যে অর্ডারটি দিয়ে নিয়েছি এটার এক্সপেরিয়েন্স সত্যি এতটাই বাজে হয়েছে আমার খুব খারাপ লাগছে। রাইডারকে কেন আমার অতিরিক্ত ৫০ টাকা গুনতে হয়েছে!! আর যে মাংসটা দিয়েছি ছিহ! কতদিন আগের মাংস তা একমাত্র তারাই জানবে। মাংসের ভিতর থেকে বিশ্রী গন্ধ বের হচ্ছে।,0
খাবারে তেলাপোকা পড়ে ছিলো।,0
"আমার এপর্যন্ত যত অর্ডার ছিল, তার মধ্যে সবচেয়ে বাজে খাবার ছিল, পরিমানে একদম কম,চিকেন ফ্রাই শক্ত, সবজি চিনি বেশি, খুব খারাপ অভিজ্ঞতা",0
খুবই খারাপ অবস্থা,0
"খুবই খারাপ। ছবিতে দিয়েছে একরকম, বাস্তবে দেয় আরেক রকম।",0
"অর্ডার করেছি স্যান্ডউইচ, দিল বার্গার। যদি না থাকে তাহলে অর্ডারটা ক্যান্সেল করে দিলে অটোমেটিক বিকাশে রিফান্ড পেয়ে যেতাম।",0
খাওয়ার এবার ভালো ছিল না। বালি চিল ।,0
খাবারের টেস্ট একদমই বাজে!,0
বাজে অভিজ্ঞতা।খাবারের মান ভালো ছিল না। একবার ই ঠকছি এবং শেষবার।,0
একদম ফালতু,0
ভর্তা ঠান্ডা ছিল। আলু ও ডিম ভর্তা লবণ বেশি ছিল। খাবারের মান আরো ভালো করা উচিত,0
"এদের খাবার সম্পর্কে বিন্দুমাত্র ধারনা নাই। ভাত যথেষ্ট পরিমান শক্ত। জীবনে প্রথমবার কোন তরকারি দেখলাম যেটা এরকম অদ্ভুতভাবে রান্না দেখলাম। ৫/৬ পদের সবজি বুটের ডাল দিয়ে রান্না তাও আবার চটপটির মসলা দেয়া। আলুভর্তা অর্ডার করেছিলাম কিন্তু যেটা ডেলিভারি দিয়েছে সেটার মধ্যে আলুর চেয়ে পেঁয়াজ ৩ গুন। তাই, বুঝিনি কি ভর্তা। একমাত্র, সিদ্ধ ডিমটাই যা খাওয়ার মত অবস্থায় ছিল। আল্লাহ হায়াত রাখছে তাই বেঁচে আছি তানাহলে এই তরকারির গন্ধ শুকেই মানুষ মরে যাবে। এত জঘন্য কনসেপ্ট নিয়ে কিভাবে এরা ব্যবসা করছে আল্লাহ জানে।",0
"খুব খারাপ টেষ্ট,তেলের পরিমাণ খুব বেশী ,বাজে প্যাকেটিং,চুল পেয়েছি",0
খাবারটা অনেক বাজে ছিলো! পোকাও পাইছিলাম খাবারে আমি! এইটা কখনোই চিকেন বিরিয়ানি হতেই পারেনা! ডিম ঝুল কিছুই ছিলো না!,0
খাবার টা বাসি ছিলো। খাবার টা গন্ধ হয়ে গিয়েছিলো। যা মুখে দিতে ই বমি চলে আসলো। গতকাল এর খাবার টা আজ ভালো ভাবে গরম না করার কারণে এধরণের বাসি খাবার পেতে হলো।,0
খাবার ঠান্ডা ছিলো,0
