Label,text,clean_text,tokenized_clean_text,tokenized_stem_text,token_length
0.0,বাজে ফুড পচা খা দিছ,বাজে ফুড পচা খা দিছে,"['বাজে', 'ফুড', 'পচা', 'খা', 'দিছে']","['বাজে', 'ফুড', 'পচা', 'খা', 'দিছ']",5
1.0,সবসময় অসাধারণ রান্না ভাই,সবসময়ই অসাধারণ রান্না ভাই,"['সবসময়ই', 'অসাধারণ', 'রান্না', 'ভাই']","['সবসময়', 'অসাধারণ', 'রান্না', 'ভাই']",4
1.0,গরম গরম পাকোডা কেচাপ দিয়ে খেত মজা,গরম গরম পাকোডা কেচাপ দিয়ে খেতে মজা,"['গরম', 'গরম', 'পাকোডা', 'কেচাপ', 'দিয়ে', 'খেতে', 'মজা']","['গরম', 'গরম', 'পাকোডা', 'কেচাপ', 'দিয়ে', 'খেত', 'মজা']",7
0.0,সমস্ যে হয় স্টেক এত হার্ড ছিলো যে কাটা যাচ্ছিলো না ঠিকম কোনম কাট পারলে মুখে চাবা চাবাতে দিনরাত পার হয় যাওয় অবস্থা, সমস্ যে হয়েছে স্টেক এতই হার্ড ছিলো যে কাটাই যাচ্ছিলো না ঠিকমতো কোনমতে কাটতে পারলেও মুখে চাবাতে চাবাতেই দিনরাত পার হয়ে যাওয়ার অবস্থা,"['সমস্', 'যে', 'হয়েছে', 'স্টেক', 'এতই', 'হার্ড', 'ছিলো', 'যে', 'কাটাই', 'যাচ্ছিলো', 'না', 'ঠিকমতো', 'কোনমতে', 'কাটতে', 'পারলেও', 'মুখে', 'চাবাতে', 'চাবাতেই', 'দিনরাত', 'পার', 'হয়ে', 'যাওয়ার', 'অবস্থা']","['সমস্', 'যে', 'হয়', 'স্টেক', 'এত', 'হার্ড', 'ছিলো', 'যে', 'কাটা', 'যাচ্ছিলো', 'না', 'ঠিকম', 'কোনম', 'কাট', 'পারলে', 'মুখে', 'চাবা', 'চাবাতে', 'দিনরাত', 'পার', 'হয়', 'যাওয়', 'অবস্থা']",23
1.0,টাকা দাম গরম গরম সিংগাড়া ভাল লাগ,টাকা দামের গরম গরম সিংগাড়া ভাল লেগেছে,"['টাকা', 'দামের', 'গরম', 'গরম', 'সিংগাড়া', 'ভাল', 'লেগেছে']","['টাকা', 'দাম', 'গরম', 'গরম', 'সিংগাড়া', 'ভাল', 'লাগ']",7
2.0,কমলা এভারেজ লাগ,কমলা এভারেজ লেগেছ,"['কমলা', 'এভারেজ', 'লেগেছ']","['কমলা', 'এভারেজ', 'লাগ']",3
2.0,আলু ভর্ একটু জম,আলু ভর্ একটু জমতো,"['আলু', 'ভর্', 'একটু', 'জমতো']","['আলু', 'ভর্', 'একটু', 'জম']",4
0.0,খুব খারাপ ছিল,খুবই খারাপ ছিল,"['খুবই', 'খারাপ', 'ছিল']","['খুব', 'খারাপ', 'ছিল']",3
2.0,আলু ভর্ আরেক্টু জম,আলু ভর্ আরেক্টু জমতো,"['আলু', 'ভর্', 'আরেক্টু', 'জমতো']","['আলু', 'ভর্', 'আরেক্টু', 'জম']",4
0.0,একদম বাজে কম দামি খা খাবারের তুলনায় দাম খুব না কেন পরামর্শ রইল,একদম বাজে কম দামি খা খাবারের তুলনায় দাম খুবই না কেনার পরামর্শ রইল,"['একদম', 'বাজে', 'কম', 'দামি', 'খা', 'খাবারের', 'তুলনায়', 'দাম', 'খুবই', 'না', 'কেনার', 'পরামর্শ', 'রইল']","['একদম', 'বাজে', 'কম', 'দামি', 'খা', 'খাবারের', 'তুলনায়', 'দাম', 'খুব', 'না', 'কেন', 'পরামর্শ', 'রইল']",13
0.0,বাজে অভিজ্ঞতা খাবারের মান ভালো না ই ঠক শেষব,বাজে অভিজ্ঞতা খাবারের মান ভালো না ই ঠকছি শেষবার,"['বাজে', 'অভিজ্ঞতা', 'খাবারের', 'মান', 'ভালো', 'না', 'ই', 'ঠকছি', 'শেষবার']","['বাজে', 'অভিজ্ঞতা', 'খাবারের', 'মান', 'ভালো', 'না', 'ই', 'ঠক', 'শেষব']",9
0.0,খারাপ টক মিষ্ বদলা গিয়েছি সাথে খারাপ কর, খারাপ টক মিষ্ বদলাতে গিয়েছিলাম সাথে খারাপ করেছে,"['খারাপ', 'টক', 'মিষ্', 'বদলাতে', 'গিয়েছিলাম', 'সাথে', 'খারাপ', 'করেছে']","['খারাপ', 'টক', 'মিষ্', 'বদলা', 'গিয়েছি', 'সাথে', 'খারাপ', 'কর']",8
1.0,মেজ্জান চট্রগ্রামবাসীর টান nতা এল টাকায় খেত পার,মেজ্জান চট্রগ্রামবাসীর টান nতাই এলাম টাকায় খেতে পারবেন,"['মেজ্জান', 'চট্রগ্রামবাসীর', 'টান', 'nতাই', 'এলাম', 'টাকায়', 'খেতে', 'পারবেন']","['মেজ্জান', 'চট্রগ্রামবাসীর', 'টান', 'nতা', 'এল', 'টাকায়', 'খেত', 'পার']",8
1.0,চি টিক্কা গুলো ছোট টেস্ট ভালো ছিল,চি টিক্কা গুলো ছোট টেস্ট ভালো ছিল,"['চি', 'টিক্কা', 'গুলো', 'ছোট', 'টেস্ট', 'ভালো', 'ছিল']","['চি', 'টিক্কা', 'গুলো', 'ছোট', 'টেস্ট', 'ভালো', 'ছিল']",7
0.0,রুই মাছ তরকারি নোনতা,রুই মাছের তরকারিও নোনতা,"['রুই', 'মাছের', 'তরকারিও', 'নোনতা']","['রুই', 'মাছ', 'তরকারি', 'নোনতা']",4
2.0,পোলা রান্না ভালো হত,পোলাও রান্না ভালো হতো,"['পোলাও', 'রান্না', 'ভালো', 'হতো']","['পোলা', 'রান্না', 'ভালো', 'হত']",4
1.0,ব্যক্তিভেদ স্বাদ ভিন্ন পারে,ব্যক্তিভেদে স্বাদ ভিন্ন পারে,"['ব্যক্তিভেদে', 'স্বাদ', 'ভিন্ন', 'পারে']","['ব্যক্তিভেদ', 'স্বাদ', 'ভিন্ন', 'পারে']",4
1.0,অস্থির আজক কাচ্চি থ্যাংক ইউ সুলতান ডাইন্স,অস্থির আজকের কাচ্চি থ্যাংক ইউ সুলতান ডাইন্স,"['অস্থির', 'আজকের', 'কাচ্চি', 'থ্যাংক', 'ইউ', 'সুলতান', 'ডাইন্স']","['অস্থির', 'আজক', 'কাচ্চি', 'থ্যাংক', 'ইউ', 'সুলতান', 'ডাইন্স']",7
1.0,প্রাইস হিসেব ভালো,প্রাইস হিসেবে ভালো,"['প্রাইস', 'হিসেবে', 'ভালো']","['প্রাইস', 'হিসেব', 'ভালো']",3
0.0,বিফ তেহারি ভাল না তেল মাংস কম,বিফ তেহারি ভাল না তেল মাংস কম,"['বিফ', 'তেহারি', 'ভাল', 'না', 'তেল', 'মাংস', 'কম']","['বিফ', 'তেহারি', 'ভাল', 'না', 'তেল', 'মাংস', 'কম']",7
0.0,ভাইয়েরা টাকা সামান্যতম মায়া মন ভুলে রেস্টুরেন্টে কখনো খা অর্ড কইর নাহ,ভাইয়েরা টাকার সামান্যতম মায়াও মনের ভুলেও রেস্টুরেন্টে কখনো খা অর্ডার কইরেন নাহ,"['ভাইয়েরা', 'টাকার', 'সামান্যতম', 'মায়াও', 'মনের', 'ভুলেও', 'রেস্টুরেন্টে', 'কখনো', 'খা', 'অর্ডার', 'কইরেন', 'নাহ']","['ভাইয়েরা', 'টাকা', 'সামান্যতম', 'মায়া', 'মন', 'ভুলে', 'রেস্টুরেন্টে', 'কখনো', 'খা', 'অর্ড', 'কইর', 'নাহ']",12
2.0,বার্গার ভালো দামে বেশি,বার্গার ভালো দামে বেশি,"['বার্গার', 'ভালো', 'দামে', 'বেশি']","['বার্গার', 'ভালো', 'দামে', 'বেশি']",4
2.0,মুরগির ঝোল ভালো না ভাত ভালো ছিল,মুরগির ঝোল ভালো না ভাত ভালো ছিল,"['মুরগির', 'ঝোল', 'ভালো', 'না', 'ভাত', 'ভালো', 'ছিল']","['মুরগির', 'ঝোল', 'ভালো', 'না', 'ভাত', 'ভালো', 'ছিল']",7
1.0,আস চিউ চিউ ভাব পেয়েছি জুসিনেস ঠিকঠাক যায় nসাইডস হিসেব Mashroom Sautee তে হার্ মরিচ অসাধারণ এক কম্বিনেশন Potato Wedges বাইর আবরণ মচমচে ভেতর একদম সফট Cheese সস কখনো খাওয়া হয়নি ভালো লাগলো স্টেক ওয়েজেস সবকিছুর সাথে হালকা সল্ ক্রিমি চিজ সস মান, আসার চিউই চিউই ভাবটা পেয়েছি জুসিনেসও ঠিকঠাক যায় nসাইডস হিসেবে Mashroom Sautee তে হার্ মরিচের অসাধারণ এক কম্বিনেশন Potato Wedges বাইরের আবরণ মচমচে ভেতরটা একদম সফট Cheese সস কখনো খাওয়া হয়নি ভালোই লাগলো স্টেক ওয়েজেস সবকিছুর সাথে হালকা সল্ ক্রিমি চিজ সস মানিয়েছে,"['আসার', 'চিউই', 'চিউই', 'ভাবটা', 'পেয়েছি', 'জুসিনেসও', 'ঠিকঠাক', 'যায়', 'nসাইডস', 'হিসেবে', 'Mashroom', 'Sautee', 'তে', 'হার্', 'মরিচের', 'অসাধারণ', 'এক', 'কম্বিনেশন', 'Potato', 'Wedges', 'বাইরের', 'আবরণ', 'মচমচে', 'ভেতরটা', 'একদম', 'সফট', 'Cheese', 'সস', 'কখনো', 'খাওয়া', 'হয়নি', 'ভালোই', 'লাগলো', 'স্টেক', 'ওয়েজেস', 'সবকিছুর', 'সাথে', 'হালকা', 'সল্', 'ক্রিমি', 'চিজ', 'সস', 'মানিয়েছে']","['আস', 'চিউ', 'চিউ', 'ভাব', 'পেয়েছি', 'জুসিনেস', 'ঠিকঠাক', 'যায়', 'nসাইডস', 'হিসেব', 'Mashroom', 'Sautee', 'তে', 'হার্', 'মরিচ', 'অসাধারণ', 'এক', 'কম্বিনেশন', 'Potato', 'Wedges', 'বাইর', 'আবরণ', 'মচমচে', 'ভেতর', 'একদম', 'সফট', 'Cheese', 'সস', 'কখনো', 'খাওয়া', 'হয়নি', 'ভালো', 'লাগলো', 'স্টেক', 'ওয়েজেস', 'সবকিছুর', 'সাথে', 'হালকা', 'সল্', 'ক্রিমি', 'চিজ', 'সস', 'মান']",43
2.0,খা ভালো পরিমান অনুযায়ী কম,খা ভালো পরিমান অনুযায়ী কম,"['খা', 'ভালো', 'পরিমান', 'অনুযায়ী', 'কম']","['খা', 'ভালো', 'পরিমান', 'অনুযায়ী', 'কম']",5
2.0,ভুনা ভুনা মাংস স্বাদ একদম এভারেজ আহামরি না,ভুনা ভুনা মাংসের স্বাদ একদম এভারেজ আহামরি না,"['ভুনা', 'ভুনা', 'মাংসের', 'স্বাদ', 'একদম', 'এভারেজ', 'আহামরি', 'না']","['ভুনা', 'ভুনা', 'মাংস', 'স্বাদ', 'একদম', 'এভারেজ', 'আহামরি', 'না']",8
1.0,অলয়েজ সস যায় বাট মমো মজ বাস্প কারণে মমো গুল নিচে পানি দিয়ে ভিজে নরম হয় যায়,অলয়েজ সস যায় বাট মমো মজার বাস্পের কারণে মমো গুলার নিচে পানি দিয়ে ভিজে নরম হয়ে যায়,"['অলয়েজ', 'সস', 'যায়', 'বাট', 'মমো', 'মজার', 'বাস্পের', 'কারণে', 'মমো', 'গুলার', 'নিচে', 'পানি', 'দিয়ে', 'ভিজে', 'নরম', 'হয়ে', 'যায়']","['অলয়েজ', 'সস', 'যায়', 'বাট', 'মমো', 'মজ', 'বাস্প', 'কারণে', 'মমো', 'গুল', 'নিচে', 'পানি', 'দিয়ে', 'ভিজে', 'নরম', 'হয়', 'যায়']",17
2.0,অনেক মাংস টান খাওয় মোটে ওঠানামা নয় জলপাইয় আচ আপনি একটু মিষ্ স্বাদ খিচুড়ি খেয়ে আপনি স্বাদ পরিবর্তন পারেন, অনেকটা মাংস টেনে খাওয়ার মোটেও ওঠানামা নয় জলপাইয়ের আচারও আপনিও একটু মিষ্ স্বাদ খিচুড়ি খেয়ে আপনিও স্বাদ পরিবর্তন পারেন,"['অনেকটা', 'মাংস', 'টেনে', 'খাওয়ার', 'মোটেও', 'ওঠানামা', 'নয়', 'জলপাইয়ের', 'আচারও', 'আপনিও', 'একটু', 'মিষ্', 'স্বাদ', 'খিচুড়ি', 'খেয়ে', 'আপনিও', 'স্বাদ', 'পরিবর্তন', 'পারেন']","['অনেক', 'মাংস', 'টান', 'খাওয়', 'মোটে', 'ওঠানামা', 'নয়', 'জলপাইয়', 'আচ', 'আপনি', 'একটু', 'মিষ্', 'স্বাদ', 'খিচুড়ি', 'খেয়ে', 'আপনি', 'স্বাদ', 'পরিবর্তন', 'পারেন']",19
0.0,পোড়া পোড়া ফুচক খোসা টক দই গন্ধ,পোড়া পোড়া ফুচকার খোসা টক দই গন্ধ,"['পোড়া', 'পোড়া', 'ফুচকার', 'খোসা', 'টক', 'দই', 'গন্ধ']","['পোড়া', 'পোড়া', 'ফুচক', 'খোসা', 'টক', 'দই', 'গন্ধ']",7
1.0,সিঙ্গ ভাল ছিল,সিঙ্গার ভাল ছিল,"['সিঙ্গার', 'ভাল', 'ছিল']","['সিঙ্গ', 'ভাল', 'ছিল']",3
1.0,সস গুলো ভালো না তাছাড়া বাকি ভালো ছিল,সস গুলো ভালো না তাছাড়া বাকিগুলো ভালো ছিল,"['সস', 'গুলো', 'ভালো', 'না', 'তাছাড়া', 'বাকিগুলো', 'ভালো', 'ছিল']","['সস', 'গুলো', 'ভালো', 'না', 'তাছাড়া', 'বাকি', 'ভালো', 'ছিল']",8
2.0,ডাল একটু বাড়ালে আরো ভালো হত,ডাল একটু বাড়ালে আরো ভালো হতো,"['ডাল', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হতো']","['ডাল', 'একটু', 'বাড়ালে', 'আরো', 'ভালো', 'হত']",6
1.0,একদম কড়া ঘন জ্যাম না অরেঞ্জ একদম প্রকৃত ফ্লেভ এটি রয় সে খেত অরেঞ্জ তিতকুটে ভাব একটু পেয়েছি অরেঞ্জ প্রকৃত ফ্লেভ বা হালকা তিতকুটে ভাব অনেকের পছন্ ভালো লাগা কথা মোটামু লাগ,একদম কড়া ঘন জ্যাম না অরেঞ্জের একদম প্রকৃত ফ্লেভার এটিতে রয়েছে সে খেতে অরেঞ্জের তিতকুটে ভাবটা একটু পেয়েছি অরেঞ্জের প্রকৃত ফ্লেভার বা হালকা তিতকুটে ভাবটা অনেকের পছন্দের ভালো লাগার কথা মোটামু লেগেছে,"['একদম', 'কড়া', 'ঘন', 'জ্যাম', 'না', 'অরেঞ্জের', 'একদম', 'প্রকৃত', 'ফ্লেভার', 'এটিতে', 'রয়েছে', 'সে', 'খেতে', 'অরেঞ্জের', 'তিতকুটে', 'ভাবটা', 'একটু', 'পেয়েছি', 'অরেঞ্জের', 'প্রকৃত', 'ফ্লেভার', 'বা', 'হালকা', 'তিতকুটে', 'ভাবটা', 'অনেকের', 'পছন্দের', 'ভালো', 'লাগার', 'কথা', 'মোটামু', 'লেগেছে']","['একদম', 'কড়া', 'ঘন', 'জ্যাম', 'না', 'অরেঞ্জ', 'একদম', 'প্রকৃত', 'ফ্লেভ', 'এটি', 'রয়', 'সে', 'খেত', 'অরেঞ্জ', 'তিতকুটে', 'ভাব', 'একটু', 'পেয়েছি', 'অরেঞ্জ', 'প্রকৃত', 'ফ্লেভ', 'বা', 'হালকা', 'তিতকুটে', 'ভাব', 'অনেকের', 'পছন্', 'ভালো', 'লাগা', 'কথা', 'মোটামু', 'লাগ']",32
2.0,ভাত আহামরি না,ভাত আহামরি না,"['ভাত', 'আহামরি', 'না']","['ভাত', 'আহামরি', 'না']",3
2.0,বার্গার মোটামু পছন্দ, বার্গার মোটামু পছন্দ,"['বার্গার', 'মোটামু', 'পছন্দ']","['বার্গার', 'মোটামু', 'পছন্দ']",3
1.0,এখান দেখ তুলনামূলক বড় বড় সাইজ চিক স্কিনসহ থাকায় মচমচে চিকেন কামড় দিতে জুসিনেস এক তৃপ্তি এনে দেয় চিকেনের ভেতর ফ্লেভারফুল কেএফসির চিকেনের যে ঘ্রাণ স্বা অটুট বন্ধন সবটুকু পেয়েছি পরিপূর্ণভাবে,এখানেরগুলো দেখলাম তুলনামূলক বড় বড় সাইজের চিকেনগুলো স্কিনসহ থাকায় মচমচে চিকেনে কামড় দিতেই জুসিনেস এক তৃপ্তি এনে দেয় চিকেনের ভেতরটাও ফ্লেভারফুল কেএফসির চিকেনের যে ঘ্রাণ স্বাদের অটুট বন্ধন সবটুকুই পেয়েছি পরিপূর্ণভাবে,"['এখানেরগুলো', 'দেখলাম', 'তুলনামূলক', 'বড়', 'বড়', 'সাইজের', 'চিকেনগুলো', 'স্কিনসহ', 'থাকায়', 'মচমচে', 'চিকেনে', 'কামড়', 'দিতেই', 'জুসিনেস', 'এক', 'তৃপ্তি', 'এনে', 'দেয়', 'চিকেনের', 'ভেতরটাও', 'ফ্লেভারফুল', 'কেএফসির', 'চিকেনের', 'যে', 'ঘ্রাণ', 'স্বাদের', 'অটুট', 'বন্ধন', 'সবটুকুই', 'পেয়েছি', 'পরিপূর্ণভাবে']","['এখান', 'দেখ', 'তুলনামূলক', 'বড়', 'বড়', 'সাইজ', 'চিক', 'স্কিনসহ', 'থাকায়', 'মচমচে', 'চিকেন', 'কামড়', 'দিতে', 'জুসিনেস', 'এক', 'তৃপ্তি', 'এনে', 'দেয়', 'চিকেনের', 'ভেতর', 'ফ্লেভারফুল', 'কেএফসির', 'চিকেনের', 'যে', 'ঘ্রাণ', 'স্বা', 'অটুট', 'বন্ধন', 'সবটুকু', 'পেয়েছি', 'পরিপূর্ণভাবে']",31
0.0,চি চিজ বারগারে চিজ ছিলো না চি পে জায়গায় টিকা ছিল,চি চিজ বারগারে চিজ ছিলো না চি পে জায়গায় টিকা ছিল,"['চি', 'চিজ', 'বারগারে', 'চিজ', 'ছিলো', 'না', 'চি', 'পে', 'জায়গায়', 'টিকা', 'ছিল']","['চি', 'চিজ', 'বারগারে', 'চিজ', 'ছিলো', 'না', 'চি', 'পে', 'জায়গায়', 'টিকা', 'ছিল']",11
1.0,বাক্স ভর ভালোবাসা,বাক্স ভরা ভালোবাসা,"['বাক্স', 'ভরা', 'ভালোবাসা']","['বাক্স', 'ভর', 'ভালোবাসা']",3
1.0,ধ্যনবাদ আপু এত সহজ বোরহানি রেসেপি শেয় র জন্য,ধ্যনবাদ আপু এতো সহজ বোরহানি রেসেপি শেয়ার র জন্য,"['ধ্যনবাদ', 'আপু', 'এতো', 'সহজ', 'বোরহানি', 'রেসেপি', 'শেয়ার', 'র', 'জন্য']","['ধ্যনবাদ', 'আপু', 'এত', 'সহজ', 'বোরহানি', 'রেসেপি', 'শেয়', 'র', 'জন্য']",9
2.0,আলু ভর্ দরক,আলু ভর্ দরকার,"['আলু', 'ভর্', 'দরকার']","['আলু', 'ভর্', 'দরক']",3
2.0,ভাত আহামরি না,ভাত আহামরি না,"['ভাত', 'আহামরি', 'না']","['ভাত', 'আহামরি', 'না']",3
2.0,সমুচা ভালো দামে বেশি,সমুচা ভালো দামে বেশি,"['সমুচা', 'ভালো', 'দামে', 'বেশি']","['সমুচা', 'ভালো', 'দামে', 'বেশি']",4
2.0,সিংগা খেত মোটাম,সিংগারা খেতে মোটামটি,"['সিংগারা', 'খেতে', 'মোটামটি']","['সিংগা', 'খেত', 'মোটাম']",3
1.0,খাবারটা মজ খাবারের মান খুব ভাল ছিল,খাবারটা মজাদার খাবারের মান খুবই ভাল ছিল,"['খাবারটা', 'মজাদার', 'খাবারের', 'মান', 'খুবই', 'ভাল', 'ছিল']","['খাবারটা', 'মজ', 'খাবারের', 'মান', 'খুব', 'ভাল', 'ছিল']",7
2.0,কাচ্চি এভারেজ লাগ,কাচ্চি এভারেজ লেগেছ,"['কাচ্চি', 'এভারেজ', 'লেগেছ']","['কাচ্চি', 'এভারেজ', 'লাগ']",3
2.0,ভাত খেত মুটামু,ভাত খেতে মুটামুটি,"['ভাত', 'খেতে', 'মুটামুটি']","['ভাত', 'খেত', 'মুটামু']",3
1.0,চায় ভাল রেস্তোরাঁ নাকি, চেয়ে ভাল রেস্তোরাঁ নাকি,"['চেয়ে', 'ভাল', 'রেস্তোরাঁ', 'নাকি']","['চায়', 'ভাল', 'রেস্তোরাঁ', 'নাকি']",4
0.0,খাওয়া চট্টগ্রাম সবচ বাজে শর্মা, খাওয়া চট্টগ্রামের সবচেয়ে বাজে শর্মা,"['খাওয়া', 'চট্টগ্রামের', 'সবচেয়ে', 'বাজে', 'শর্মা']","['খাওয়া', 'চট্টগ্রাম', 'সবচ', 'বাজে', 'শর্মা']",5
0.0,খা পুরা ফালতু হচ্ বাশী খা খাচ্,খা পুরাই ফালতু হচ্ বাশী খা খাচ্ছি,"['খা', 'পুরাই', 'ফালতু', 'হচ্', 'বাশী', 'খা', 'খাচ্ছি']","['খা', 'পুরা', 'ফালতু', 'হচ্', 'বাশী', 'খা', 'খাচ্']",7
2.0,কমলা একটু জমে যেত,কমলা একটু জমে যেত,"['কমলা', 'একটু', 'জমে', 'যেত']","['কমলা', 'একটু', 'জমে', 'যেত']",4
1.0,দারুণ এক পিজা বক্স সুন্দর ভালো লাগ,দারুণ একটা পিজা বক্স সুন্দর ভালো লাগতো,"['দারুণ', 'একটা', 'পিজা', 'বক্স', 'সুন্দর', 'ভালো', 'লাগতো']","['দারুণ', 'এক', 'পিজা', 'বক্স', 'সুন্দর', 'ভালো', 'লাগ']",7
0.0,চিকেনফ্রা পোরা ফেলসে,চিকেনফ্রাই পোরাই ফেলসে,"['চিকেনফ্রাই', 'পোরাই', 'ফেলসে']","['চিকেনফ্রা', 'পোরা', 'ফেলসে']",3
2.0,সবজি রান্না ভালো হত,সবজি রান্না ভালো হতো,"['সবজি', 'রান্না', 'ভালো', 'হতো']","['সবজি', 'রান্না', 'ভালো', 'হত']",4
2.0,কমলা তুলনা মূলক কম,কমলা তুলনা মূলক কম,"['কমলা', 'তুলনা', 'মূলক', 'কম']","['কমলা', 'তুলনা', 'মূলক', 'কম']",4
1.0,ভেজিটেবল ফ্রাইড রাইস কম্বিনেশন সেট মেনু ভালো,ভেজিটেবল ফ্রাইড রাইস কম্বিনেশন সেট মেনু ভালোই,"['ভেজিটেবল', 'ফ্রাইড', 'রাইস', 'কম্বিনেশন', 'সেট', 'মেনু', 'ভালোই']","['ভেজিটেবল', 'ফ্রাইড', 'রাইস', 'কম্বিনেশন', 'সেট', 'মেনু', 'ভালো']",7
2.0,খিচুড়ি আরেক্টু বাড়ালে জম,খিচুড়ি আরেক্টু বাড়ালে জমতো,"['খিচুড়ি', 'আরেক্টু', 'বাড়ালে', 'জমতো']","['খিচুড়ি', 'আরেক্টু', 'বাড়ালে', 'জম']",4
0.0,খা হাইজেনিক নয় এক টেস্ট লাগেনি পরিমাণ আশাকরি খাবারের মান উন্নত ন,খা হাইজেনিক নয় একটা টেস্ট লাগেনি পরিমাণ আশাকরি খাবারের মান উন্নত ন,"['খা', 'হাইজেনিক', 'নয়', 'একটা', 'টেস্ট', 'লাগেনি', 'পরিমাণ', 'আশাকরি', 'খাবারের', 'মান', 'উন্নত', 'ন']","['খা', 'হাইজেনিক', 'নয়', 'এক', 'টেস্ট', 'লাগেনি', 'পরিমাণ', 'আশাকরি', 'খাবারের', 'মান', 'উন্নত', 'ন']",12
